relative_path,size_bytes,sha256
R2_GATE.json,775,e8ba78acd23b8ba4a5b7fb20b26632794164847d1ff91daf5e2a6ce663ef2c0d
README_R2_VI.md,284,b51d2fcbcde72397037e41c1810f59374d5f0fdeb07a2c22774bb37824c58a31
amendment/STEP7_TO_STEP7B_AMENDMENT_LOG.json,2182,e627bf5889b958b339f2367a5982b1abd0e96b1ed791c48d90607b510c2ca202
code/__pycache__/r2_locked_method.cpython-313.pyc,14938,77171d4f31e32b61a101ca717fe287d27a05b6bab047148e99a5df28db606815
code/r2_locked_method.py,8068,26cdd783ea8af8e5157a0e781ed9c22ddca900372ed2191e8ca9618b344fdb37
config/R2_METHOD_LOCK.yaml,2626,5e90e045e9ede2bdbe2a4678a5774dc34d920283d9e04179de159449d1b642bb
docs/R2_METHOD_SPECIFICATION_EN.md,2292,636933a1c335207e6863b833f86a1663a6c6cdb9640b72f811503829891ddac5
evidence/R2_CODE_EQUATION_ALGORITHM_MATRIX.csv,905,3dcc06b3336150b1d7b4665dcae9a9aadfbe382c44a0183b79180ceb19b953af
evidence/R2_HISTORICAL_TO_LOCKED_MAPPING.csv,1013,303ae4d312fb6fe158a38120ad2b50c546eaa22f60335e3449e60ca4f4479422
evidence/R2_SOURCE_INPUT_HASHES.csv,1778,29ba587d9cb82737fcde5185d97ab627fc1700d41c34a24e1ba7e8c864c6cf4b
scripts/__pycache__/run_r2_validation.cpython-313.pyc,1209,94f5fd85015a775abb573339fcbc66174ab31dde5c5c48168feb912fd056f21a
scripts/run_r2_validation.ps1,68,bc99214a036b61202d6e28061213f4fa580b71a002ccbebb12fb26af0fa651a1
scripts/run_r2_validation.py,503,28292edbebd60c2d5a6450b68968ba4554726580ed1a882775d1f7798d169d46
scripts/run_r2_validation.sh,75,ce1b7a2946171f2763e7eea8ad790930c253fa30837fa21af96699b2879424a7
tests/__pycache__/test_r2_method_lock.cpython-313.pyc,6923,01d44f06356ba629b4964aaedb3e1f0c98650c1d7dd0f9f4edfb3c7f561b827d
tests/test_r2_method_lock.py,2784,b5d909f7b79640ef789a52a36e73ee6fcb5b155ada9ab4bb613ee8efdce2d9a6
validation/R2_LOCK_CHECKSUM_RECORD.json,593,b054a451a2ddc917b71af49253efe6b3b897598a825044f80f493f859dad660a
validation/R2_TEST_OUTPUT.json,1133,6d23beb42953eca1cdaa1daf0a853e1ceb04f6afd33dba732e84e4a767f2fbe0
