cell_id,dataset_protocol,method,beta,partition,seed,rounds,role,expected
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed42,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,42,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed123,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,123,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed777,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,777,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed2026,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,2026,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed3407,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,3407,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed11,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,11,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed314,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,314,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed2718,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,2718,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed9001,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,9001,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Full-Contextual__seed2027,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Full-Contextual,NA,source-group-preserving deterministic balanced bin packing,2027,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed42,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,42,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed123,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,123,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed777,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,777,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed2026,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,2026,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed3407,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,3407,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed11,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,11,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed314,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,314,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed2718,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,2718,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed9001,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,9001,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Random-Budget__seed2027,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Random-Budget,0.4,source-group-preserving deterministic balanced bin packing,2027,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed42,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,42,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed123,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,123,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed777,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,777,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed2026,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,2026,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed3407,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,3407,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed11,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,11,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed314,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,314,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed2718,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,2718,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed9001,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,9001,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Utility-Only__seed2027,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Utility-Only,0.4,source-group-preserving deterministic balanced bin packing,2027,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed42,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,42,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed123,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,123,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed777,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,777,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed2026,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,2026,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed3407,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,3407,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed11,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,11,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed314,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,314,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed2718,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,2718,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed9001,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,9001,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__CB-Score__seed2027,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,CB-Score,0.4,source-group-preserving deterministic balanced bin packing,2027,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed42,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,42,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed123,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,123,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed777,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,777,30,natural_domain_sensitivity,1
NATURAL__CICIoT2023_SOURCE_GROUP__Oort-Style-Adapted__seed2026,CICIoT2023_R1_NATURAL_SOURCE_GROUP_K10,Oort-Style-Adapted,0.4,source-group-preserving deterministic balanced bin packing,2026,30,natural_domain_sensitivity,1
