file,field,required
configuration_lock.json,protocol_id,yes
configuration_lock.json,method_hash,yes
configuration_lock.json,data_hashes,yes
configuration_lock.json,dataset,yes
configuration_lock.json,partition,yes
configuration_lock.json,method,yes
configuration_lock.json,beta,yes
configuration_lock.json,alpha_dir,yes
configuration_lock.json,seed,yes
configuration_lock.json,threshold_rules,yes
configuration_lock.json,test_locked,yes
round_metrics.csv,round,yes
round_metrics.csv,validation_F1,yes
round_metrics.csv,validation_PR_AUC,yes
round_metrics.csv,validation_ROC_AUC,yes
round_metrics.csv,validation_FPR,yes
round_metrics.csv,FP_per_10000,yes
round_metrics.csv,selected_count,yes
round_metrics.csv,static_eligible_count,yes
round_metrics.csv,budget_bytes,yes
round_metrics.csv,used_bytes,yes
round_metrics.csv,budget_utilization,yes
round_metrics.csv,empty_round,yes
round_metrics.csv,selected_uplink,yes
round_metrics.csv,metadata_wire,yes
round_metrics.csv,downlink_broadcast,yes
round_metrics.csv,downlink_unicast,yes
round_metrics.csv,E2E_broadcast,yes
round_metrics.csv,E2E_unicast,yes
round_metrics.csv,runtime_components,yes
selection_records.csv,round,yes
selection_records.csv,client_id,yes
selection_records.csv,static_eligible,yes
selection_records.csv,ranking_eligible,yes
selection_records.csv,selected,yes
selection_records.csv,utility,yes
selection_records.csv,wire_bytes,yes
selection_records.csv,priority,yes
selection_records.csv,n_fit,yes
selection_records.csv,n_utility,yes
selection_records.csv,utility_benign,yes
selection_records.csv,utility_attack,yes
selection_records.csv,reported_metadata_view,yes
selection_records.csv,malicious_flag,yes
validation_threshold_grid.csv,threshold,yes
validation_threshold_grid.csv,F1,yes
validation_threshold_grid.csv,PR_AUC,yes
validation_threshold_grid.csv,ROC_AUC,yes
validation_threshold_grid.csv,FPR,yes
validation_threshold_grid.csv,FP_per_10000,yes
test_predictions.npz,y_true,yes
test_predictions.npz,probabilities,yes
test_predictions.npz,row_hash_or_index,yes
test_metrics.json,method_specific,yes
test_metrics.json,shared_full_threshold,yes
test_metrics.json,fixed_0.5,yes
summary.json,final_metrics,yes
summary.json,cumulative_communication,yes
summary.json,communication_to_target,yes
summary.json,runtime,yes
summary.json,hashes,yes
