cell_id,dataset_protocol,method,beta,alpha_dir,seed,rounds,role,expected
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,42,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,123,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed777,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,777,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed2026,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,2026,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed3407,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,3407,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed11,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,11,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,314,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,2718,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,9001,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Full-Contextual__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.1,2027,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Random-Budget__seed42,CICIDS2017_COVERAGE_R1,Random-Budget,0.4,0.1,42,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Random-Budget__seed123,CICIDS2017_COVERAGE_R1,Random-Budget,0.4,0.1,123,30,dirichlet_sensitivity,1
HET__CICIDS2017_COVERAGE_R1__a0.1__Random-Budget__seed777,CICIDS2017_COVERAGE_R1,Random-Budget,0.4,0.1,777,30,dirichlet_sensitivity,1
