cell_id,dataset_protocol,method,beta,alpha_dir,seed,rounds,role,expected
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed42,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,42,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed123,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,123,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed777,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,777,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed2026,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,2026,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed3407,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,3407,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed11,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,11,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed314,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,314,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed2718,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,2718,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed9001,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,9001,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Full-Contextual__seed2027,CICIDS2017_FILE_DISJOINT_OOD,Full-Contextual,NA,0.5,2027,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed42,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,42,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed123,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,123,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed777,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,777,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed2026,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,2026,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed3407,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,3407,30,cross_capture_OOD_stress,1
OOD__CICIDS2017_FILE_DISJOINT__Random-Budget__seed11,CICIDS2017_FILE_DISJOINT_OOD,Random-Budget,0.4,0.5,11,30,cross_capture_OOD_stress,1
