cell_id,dataset_protocol,method,beta,alpha_dir,seed,rounds,role,expected
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,42,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,123,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed777,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,777,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed2026,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,2026,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed3407,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,3407,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed11,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,11,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,314,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,2718,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,9001,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,NA,0.5,2027,30,full_reference,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed42,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed123,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed777,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed2026,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed3407,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed11,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed314,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed2718,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed9001,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed2027,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed42,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed123,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed777,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed2026,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed3407,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed11,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed314,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed2718,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed9001,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed2027,CICIDS2017_COVERAGE_R1,Cost-Only,0.1,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed42,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed123,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed777,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed2026,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed3407,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed11,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed314,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed2718,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed9001,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed2027,CICIDS2017_COVERAGE_R1,Utility-Only,0.1,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.1__seed42,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.1,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.1__seed123,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.1,0.5,123,30,primary_budget_tradeoff,1
