phase,cell_id,dataset,dataset_protocol,method,beta,alpha_dir,seed,aggregation,model_attack,reported_utility,metric_accuracy,metric_balanced_accuracy,metric_f1,metric_false_negatives,metric_false_positives,metric_false_positives_per_10000_benign,metric_fpr,metric_pr_auc,metric_precision,metric_recall,metric_roc_auc,metric_threshold,metric_true_negatives,metric_true_positives,comm_E2E_broadcast,comm_E2E_unicast,comm_aggregation_seconds,comm_downlink_broadcast,comm_downlink_unicast,comm_empty_rounds,comm_full_candidate_airtime_us,comm_max_client_seconds,comm_metadata_wire,comm_selected_airtime_us,comm_selected_uplink,comm_server_selection_seconds,comm_sum_client_CPU_seconds,comm_wall_clock_seconds
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed11,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,11,FedAvg,clean,honest,0.7623348875888816,0.4987047378279339,0.0028308408036076763,89703,1178,40.265382367317365,0.004026538236731736,0.19585803173370187,0.09869931140015302,0.0014360138925995191,0.24518983541530492,0.29,291381,129,3882609,22304574,0.007904099998995662,2046885,20468850,0,47461955.0,5.178043500003696,25500,6599115.0,1810224,0.013664899996001623,37.52019499998278,54.23103309999533
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed123,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,123,FedAvg,clean,honest,0.7641367082384262,0.49985527986636574,0.002698040603299571,89710,482,16.475309253859905,0.0016475309253859906,0.17736435663964256,0.20198675496688742,0.0013580906581173746,0.3789030143706189,0.59,292077,122,3897513,22313115,0.008524800001396216,2046178,20461780,0,47748228.0,5.080380900004457,25500,6526971.0,1825835,0.013209999997343402,40.656949100006386,60.060008300000845
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed2026,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,2026,FedAvg,clean,honest,0.7629755930448154,0.49885347460313373,0.0013002181722017762,89773,863,29.498323415106015,0.0029498323415106014,0.1636661221762626,0.06399132321041215,0.0006567815477780746,0.2539449053296296,0.62,291696,59,3520193,21943301,0.006827399998655892,2047012,20470120,6,47278440.0,5.948141400007444,25500,6289101.0,1447681,0.012935400000060326,44.11025039999913,62.85846689999744
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed2027,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,2027,FedAvg,clean,honest,0.7642543888323732,0.499982326978777,0.0029861641063074424,89697,450,15.381512788873355,0.0015381512788873355,0.18057885442802865,0.23076923076923078,0.0015028052364413572,0.3838416041842117,0.43,292109,135,3870995,22308647,0.009132999995927094,2048628,20486280,0,47185270.0,6.160654700008308,25500,1525107.0,1796867,0.013579000002209796,44.82836180002596,63.65070520000518
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed2718,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,2718,FedAvg,clean,honest,0.7938079086589381,0.6092698711504458,0.37310371147791244,66369,12477,426.4780779261619,0.04264780779261619,0.45134143987234154,0.6528380634390651,0.26118755009350786,0.6711897401193594,0.75,280082,23463,3898673,22318937,0.008026500003325054,2046696,20466960,0,47723996.0,5.513556199997765,25500,3792775.0,1826477,0.013165299998945557,41.28402229999483,58.346007900003315
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed314,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,314,FedAvg,clean,honest,0.7635639960145506,0.49943857061672337,0.0024494389460792427,89721,690,23.584986276272478,0.002358498627627248,0.16309416674272853,0.13857677902621723,0.0012356398610740048,0.2813693483940396,0.35,291869,111,3811783,22243081,0.00871769999866956,2047922,20479220,0,46351964.0,5.861477200009176,25500,4170991.0,1738361,0.015120199999728356,42.9405956000337,59.25421650000317
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed3407,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,3407,FedAvg,clean,honest,0.7408934833717321,0.4847731743324861,0.0030187160394445564,89682,9398,321.23434931073734,0.03212343493107373,0.17932125730276752,0.015710096355257646,0.0016697835960459524,0.3871185435853504,0.12,283161,150,3889462,22316485,0.008556500000850065,2047447,20474470,0,47742830.0,5.456585300002189,25500,2887697.0,1816515,0.014081900011660764,41.19118629999866,59.048010900007284
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed42,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,42,FedAvg,clean,honest,0.7652245999513587,0.5003849738164572,0.0016680381647132087,89757,19,0.6494416510857639,6.49441651085764e-05,0.23115878333411843,0.7978723404255319,0.0008348917980229762,0.34080018127090217,0.1,292540,75,3749333,22153550,0.00869369999418268,2044913,20449130,2,47193404.0,6.172481400004472,25500,5571944.0,1678920,0.015526699999099947,42.383894199998394,60.69180299999789
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed777,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,777,FedAvg,clean,honest,0.7648271010562487,0.5002679020247366,0.0024846925193007367,89720,208,7.109677022412574,0.0007109677022412573,0.16869122170942805,0.35,0.001246771751714311,0.3068576491675606,0.39,292351,112,3911686,22334749,0.009500300004219753,2047007,20470070,0,48284287.0,5.437753999996858,25500,3236048.0,1839179,0.014104599995334866,43.65831930001332,62.128733100005775
primary,PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed9001,CICIDS2017,CICIDS2017_COVERAGE_R1,CB-Score,0.1,0.5,9001,FedAvg,clean,honest,0.6265916300331337,0.41344848930247113,0.014153744183156354,88807,53981,1845.132093013717,0.1845132093013717,0.14521691196272313,0.018634330800276332,0.011410187906314009,0.17482450187189016,0.95,238578,1025,3762783,22187430,0.00890139999864914,2047183,20471830,2,47403105.0,6.088090300001568,25500,2489525.0,1690100,0.015390199996545562,44.91238769999836,62.831522999997105
