dataset,seed,beta,method,endpoint,fraction_of_full_final,target_value,reached,round,E2E_broadcast_bytes
CICIDS2017_COVERAGE_R1,42,0.1,Full-Contextual,F1,0.9,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.1,Full-Contextual,F1,0.95,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.1,Full-Contextual,PR_AUC,0.9,0.031762607204972794,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.1,Full-Contextual,PR_AUC,0.95,0.03352719649413795,True,1.0,1392715.0
CICIDS2017_COVERAGE_R1,42,0.1,Random-Budget,F1,0.9,0.0,True,0.0,131271.0
CICIDS2017_COVERAGE_R1,42,0.1,Random-Budget,F1,0.95,0.0,True,0.0,131271.0
CICIDS2017_COVERAGE_R1,42,0.1,Random-Budget,PR_AUC,0.9,0.031762607204972794,True,0.0,131271.0
CICIDS2017_COVERAGE_R1,42,0.1,Random-Budget,PR_AUC,0.95,0.03352719649413795,True,0.0,131271.0
CICIDS2017_COVERAGE_R1,42,0.1,Cost-Only,F1,0.9,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Cost-Only,F1,0.95,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Cost-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Cost-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Only,F1,0.9,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Only,F1,0.95,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Only,PR_AUC,0.9,0.031762607204972794,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Only,PR_AUC,0.95,0.03352719649413795,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Cost-Ratio,F1,0.9,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Cost-Ratio,F1,0.95,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Cost-Ratio,PR_AUC,0.9,0.031762607204972794,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Cost-Ratio,PR_AUC,0.95,0.03352719649413795,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,CB-Score,F1,0.9,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,CB-Score,F1,0.95,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,CB-Score,PR_AUC,0.9,0.031762607204972794,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,CB-Score,PR_AUC,0.95,0.03352719649413795,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Historical-DoubleCost,F1,0.9,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Historical-DoubleCost,F1,0.95,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Historical-DoubleCost,PR_AUC,0.9,0.031762607204972794,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Historical-DoubleCost,PR_AUC,0.95,0.03352719649413795,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oort-Style-Adapted,F1,0.9,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oort-Style-Adapted,F1,0.95,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oort-Style-Adapted,PR_AUC,0.9,0.031762607204972794,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oort-Style-Adapted,PR_AUC,0.95,0.03352719649413795,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oracle-Score-Exact,F1,0.9,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oracle-Score-Exact,F1,0.95,0.0,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oracle-Score-Exact,PR_AUC,0.9,0.031762607204972794,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.1,Oracle-Score-Exact,PR_AUC,0.95,0.03352719649413795,True,0.0,131161.0
CICIDS2017_COVERAGE_R1,42,0.2,Full-Contextual,F1,0.9,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.2,Full-Contextual,F1,0.95,0.0,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.2,Full-Contextual,PR_AUC,0.9,0.031762607204972794,True,0.0,696492.0
CICIDS2017_COVERAGE_R1,42,0.2,Full-Contextual,PR_AUC,0.95,0.03352719649413795,True,1.0,1392715.0
CICIDS2017_COVERAGE_R1,42,0.2,Random-Budget,F1,0.9,0.0,True,0.0,131575.0
CICIDS2017_COVERAGE_R1,42,0.2,Random-Budget,F1,0.95,0.0,True,0.0,131575.0
CICIDS2017_COVERAGE_R1,42,0.2,Random-Budget,PR_AUC,0.9,0.031762607204972794,True,0.0,131575.0
CICIDS2017_COVERAGE_R1,42,0.2,Random-Budget,PR_AUC,0.95,0.03352719649413795,True,1.0,325434.0
CICIDS2017_COVERAGE_R1,42,0.2,Cost-Only,F1,0.9,0.0,True,0.0,193980.0
CICIDS2017_COVERAGE_R1,42,0.2,Cost-Only,F1,0.95,0.0,True,0.0,193980.0
