cell_id,dataset_protocol,selection,aggregation,model_attack,reported_utility,beta,seed,rounds,role,expected,test_F1,test_PR_AUC,test_FPR,mean_malicious_selection_rate,mean_malicious_budget_fraction,malicious_reported_utility_mean,malicious_actual_utility_mean,benign_reported_utility_mean,malicious_update_norm_mean,benign_update_norm_mean,malicious_cosine_to_benign_mean,clean_F1,clean_PR_AUC,clean_FPR,attack_success_F1_drop,attack_success_PR_AUC_drop,attack_success_FPR_increase,honest_F1,honest_PR_AUC,honest_FPR,honest_malicious_selection_rate,honest_malicious_budget_fraction,forged_minus_honest_F1,forged_minus_honest_PR_AUC,forged_minus_honest_FPR,forged_minus_honest_malicious_selection_rate,forged_minus_honest_malicious_budget_fraction
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed42,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,42,30,core_12_cell_factorial,1,0.00224481858087459,0.19836394098322432,0.00017774192556031432,0.0,0.0,,,0.13139248204345422,,1.2453869666481496,,0.00224481858087459,0.19836394098322432,0.00017774192556031432,0.0,0.0,0.0,0.00224481858087459,0.19836394098322432,0.00017774192556031432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed123,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,123,30,core_12_cell_factorial,1,0.003148454042548474,0.17246531144325397,0.0007827480952559997,0.0,0.0,,,0.04215970548302057,,0.9797711322516801,,0.003148454042548474,0.17246531144325397,0.0007827480952559997,0.0,0.0,0.0,0.003148454042548474,0.17246531144325397,0.0007827480952559997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed777,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,777,30,core_12_cell_factorial,1,0.002542211300129229,0.18179491818166962,0.015224279547031538,0.0,0.0,,,0.0824396438845229,,1.0316184329807092,,0.002542211300129229,0.18179491818166962,0.015224279547031538,0.0,0.0,0.0,0.002542211300129229,0.18179491818166962,0.015224279547031538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,2026,30,core_12_cell_factorial,1,0.009169705041154509,0.17508301632825168,0.004628126292474339,0.0,0.0,,,0.09476009194336368,,1.1909608702578904,,0.009169705041154509,0.17508301632825168,0.004628126292474339,0.0,0.0,0.0,0.009169705041154509,0.17508301632825168,0.004628126292474339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,3407,30,core_12_cell_factorial,1,0.0025789813023855577,0.1732200401041768,3.418113953082968e-05,0.0,0.0,,,0.06409981008162552,,1.0535345454815725,,0.0025789813023855577,0.1732200401041768,3.418113953082968e-05,0.0,0.0,0.0,0.0025789813023855577,0.1732200401041768,3.418113953082968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed11,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,11,30,core_12_cell_factorial,1,0.0024443358072974535,0.16806952693725868,0.00021192306509114402,0.0,0.0,,,0.012102402092708943,,1.0699114282601154,,0.0024443358072974535,0.16806952693725868,0.00021192306509114402,0.0,0.0,0.0,0.0024443358072974535,0.16806952693725868,0.00021192306509114402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed314,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,314,30,core_12_cell_factorial,1,0.013441005907538887,0.17252084075599772,0.006162859457408591,0.0,0.0,,,0.032866230066365985,,1.1149899416035867,,0.013441005907538887,0.17252084075599772,0.006162859457408591,0.0,0.0,0.0,0.013441005907538887,0.17252084075599772,0.006162859457408591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,2718,30,core_12_cell_factorial,1,0.0030106879421947915,0.16581503748529758,0.010356885277841392,0.0,0.0,,,0.041531854698612,,1.0595585516797268,,0.0030106879421947915,0.16581503748529758,0.010356885277841392,0.0,0.0,0.0,0.0030106879421947915,0.16581503748529758,0.010356885277841392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,9001,30,core_12_cell_factorial,1,0.014116885219362149,0.17741599259285928,0.007413889164236957,0.0,0.0,,,0.06512855364364242,,1.209561942891449,,0.014116885219362149,0.17741599259285928,0.007413889164236957,0.0,0.0,0.0,0.014116885219362149,0.17741599259285928,0.007413889164236957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB__CICIDS2017_COVERAGE_R1__CB-Score__FedAvg__clean__honest__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,0.4,2027,30,core_12_cell_factorial,1,0.015744274809160304,0.23544067808558422,0.005694577845836224,0.0,0.0,,,0.048289574294152565,,1.0445420393140838,,0.015744274809160304,0.23544067808558422,0.005694577845836224,0.0,0.0,0.0,0.015744274809160304,0.23544067808558422,0.005694577845836224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
