dataset,method,beta,proxy,round_observations,seeds_with_defined_correlation,pooled_pearson_r,pooled_pearson_p,pooled_spearman_rho,pooled_spearman_p,mean_seed_pearson_r,seed_pearson_ci_low,seed_pearson_ci_high,mean_seed_spearman_rho,seed_spearman_ci_low,seed_spearman_ci_high,interpretation_boundary
CICIDS2017_COVERAGE_R1,CB-Score,0.1,proxy_sum,300,10,-0.20033847004777997,0.0004813338649831665,0.033403390527160126,0.5644061826582707,0.051772154826603856,-0.29055715922526526,0.40331921488309586,0.0482613379195388,-0.21199136288054518,0.29552975738325876,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,proxy_mean,300,10,-0.20033847004777997,0.0004813338649831665,0.033403390527160126,0.5644061826582707,0.051772154826603856,-0.28367167297665974,0.39641027625280106,0.0482613379195388,-0.21728782100641328,0.2954866356839843,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.2,proxy_sum,300,10,-0.2515187556434018,1.0368926250357838e-05,0.01925932510361226,0.739723505575221,-0.043780037792105715,-0.2792916285233673,0.19910711753016452,0.067853170189099,-0.15341713014460506,0.2719043381535036,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.2,proxy_mean,300,10,-0.21124779147356684,0.00022841622607126067,0.037907976755297286,0.5130605699577536,0.011329860289602044,-0.23792060851620975,0.2543915553460696,0.10416017797552835,-0.12080088987764181,0.310166852057842,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.4,proxy_sum,300,10,-0.11929593354546332,0.03892110136111626,0.198038022208701,0.0005605219554439261,0.07972131209671865,-0.16219610159813994,0.34005738591036666,0.13289731539922225,-0.08416014914131721,0.3146184554321483,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.4,proxy_mean,300,10,-0.10029218823651896,0.08287642739718622,0.23752935866607072,3.230262915404899e-05,0.12373611640308206,-0.11157467781245982,0.3654924152778741,0.19074137185426002,0.004877139142581081,0.34438487208008883,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.6,proxy_sum,300,10,0.4685235152284818,8.935342421424304e-18,0.4806367805501914,9.549848617919682e-19,0.5505454120385489,0.4188183169840789,0.6779501152080634,0.45945255348218933,0.3163014907257353,0.598725027647846,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.6,proxy_mean,300,10,0.44551246687453416,4.932598328051967e-16,0.5258710709832619,9.831267988655677e-23,0.5727856922826053,0.45560869777490093,0.6886937806331727,0.513624921672594,0.40003501309890865,0.6325405809908494,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.8,proxy_sum,300,10,0.4854426674660944,3.8363138375559937e-19,0.5913328988839115,1.1129110904010611e-29,0.5603456472678522,0.29235181092905305,0.748058063779036,0.5121321942726916,0.34077455632421244,0.6608434321868708,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.8,proxy_mean,300,10,0.4345368778915043,3.011017842293098e-15,0.6647810891128089,1.247787488766257e-39,0.5723585537776281,0.32263031802692466,0.7549058408997019,0.6046269840651665,0.4985962343296909,0.7120800889877643,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,1.0,proxy_sum,300,10,0.34619743174912626,7.142395588782177e-10,0.4968786871941594,4.12996302595478e-20,0.46509999080974274,0.19914450187350347,0.6795000544710942,0.41339587359278446,0.19954917515108866,0.6025806451612904,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,CB-Score,1.0,proxy_mean,300,10,0.3469583074463436,6.518543465333109e-10,0.5892619461618439,1.9533595142517276e-29,0.5283929895992545,0.2597615450564914,0.7516699589750951,0.5099927351244816,0.3463876183280411,0.6681278506716553,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Cost-Only,0.1,proxy_sum,300,10,-0.07561559688639984,0.19151732709961303,0.2175400785346436,0.00014601255572603114,0.24066643219234743,-0.03214747795268211,0.48865596690905394,0.2615543354605674,0.01634702764362788,0.4905869831009994,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Cost-Only,0.1,proxy_mean,300,10,-0.07561559688639984,0.19151732709961303,0.2175400785346436,0.00014601255572603114,0.24066643219234743,-0.028020835626465155,0.4893377430367066,0.2615543354605674,0.021081690398982427,0.49018907358697555,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Cost-Only,0.2,proxy_sum,300,10,0.09723551586042531,0.09273893831133083,0.168182209098738,0.0034814962099138065,0.253887743330515,0.005317178239414677,0.48499754498591413,0.1775216901815773,0.01920417578246016,0.31520948695606316,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
