cell_id,dataset,method,beta,seed,threshold,selection_rule,validation_F1,validation_PR_AUC,validation_FPR
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,,42,0.45,maximize_F1_subject_to_FPR_target,0.000849689863199932,0.035732198746953256,0.006582810598022636
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,,123,0.77,maximize_F1_subject_to_FPR_target,0.0008328128253175099,0.031007449289034962,0.0011340983036409596
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed777,CICIDS2017_COVERAGE_R1,Full-Contextual,,777,0.56,maximize_F1_subject_to_FPR_target,0.0007903576368306659,0.03134678081887292,0.00243453102514926
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed2026,CICIDS2017_COVERAGE_R1,Full-Contextual,,2026,0.79,maximize_F1_subject_to_FPR_target,0.0008495274503557397,0.03339558490228561,0.0006577770161117566
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed3407,CICIDS2017_COVERAGE_R1,Full-Contextual,,3407,0.69,maximize_F1_subject_to_FPR_target,0.0008136696501220504,0.036262329139547606,0.0017036676739139748
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed11,CICIDS2017_COVERAGE_R1,Full-Contextual,,11,0.84,maximize_F1_subject_to_FPR_target,0.0006378907080586859,0.02973492352590333,0.000632574831586402
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,,314,0.69,maximize_F1_subject_to_FPR_target,0.0006175380815150268,0.03564665749403551,0.0014138425518723963
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,,2718,0.78,maximize_F1_subject_to_FPR_target,0.0008400714060695159,0.03519209789245348,0.0009249201720805159
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,,9001,0.79,maximize_F1_subject_to_FPR_target,0.0006426735218508997,0.03640155302164666,0.0004561595399089193
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,,2027,0.54,maximize_F1_subject_to_FPR_target,0.0006385696040868455,0.030135915175601876,0.0006073726470610472
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed42,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,42,0.49,maximize_F1_subject_to_FPR_target,0.0006451612903225806,0.034493291846554516,0.008175588660025051
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed123,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,123,0.72,maximize_F1_subject_to_FPR_target,0.0005846243788365975,0.025772188318554753,0.002792402045409296
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed777,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,777,0.24,maximize_F1_subject_to_FPR_target,0.0007352265416781545,0.03188678392198388,0.004347376830623678
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed2026,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,2026,0.52,maximize_F1_subject_to_FPR_target,0.0,0.03182752987571038,0.008689713224342286
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed3407,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,3407,0.54,maximize_F1_subject_to_FPR_target,0.2597893432465923,0.08415391919244261,0.04772033639875904
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed11,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,11,0.59,maximize_F1_subject_to_FPR_target,0.0017897819720143183,0.04302755119777288,0.007885763537983473
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed314,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,314,0.32,maximize_F1_subject_to_FPR_target,0.0006582845105654664,0.03151397744181782,0.015206998142599
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed2718,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,2718,0.5,maximize_F1_subject_to_FPR_target,0.0032410533423362594,0.03599294571303781,0.014198910761584815
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed9001,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,9001,0.23,maximize_F1_subject_to_FPR_target,0.000673797692242904,0.03265598977028785,0.006847433535538861
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed2027,CICIDS2017_COVERAGE_R1,Random-Budget,0.1,2027,0.73,maximize_F1_subject_to_FPR_target,0.000700586741395919,0.022211113613265103,0.005703254358087759
