cell_id,dataset,seed,method,beta,full_threshold,accuracy,balanced_accuracy,precision,recall,f1,fpr,false_positives,false_negatives,true_positives,true_negatives,false_positives_per_10000_benign,threshold,roc_auc,pr_auc
PRIMARY__CICIDS2017_COVERAGE_R1__Full-Contextual__seed42,CICIDS2017_COVERAGE_R1,42,Full-Contextual,,0.45,0.760653362657594,0.49758267286195607,0.06346749226006192,0.001369222548757681,0.0026806145799280813,0.0062038768248455865,1815,89709,123,290744,62.03876824845587,0.45,0.31957465946622704,0.16884511379024328
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,Random-Budget,0.1,0.45,0.7187381502179706,0.47022847652538524,0.007394640275770043,0.0014805414551607445,0.002467120517909811,0.061023588404390226,17853,89699,133,274706,610.2358840439023,0.45,0.2926976790500345,0.1627947971281397
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,Cost-Only,0.1,0.45,0.7650781529900024,0.5001658461987752,0.5,0.000478671297533173,0.0009564269667919661,0.0001469788999825676,43,89789,43,292516,1.4697889998256761,0.45,0.3573091223354219,0.23073671144088564
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,Utility-Only,0.1,0.45,0.7599342034723621,0.4971358235234688,0.05797752808988764,0.0014360138925995191,0.002802611425529835,0.007164366845661901,2096,89703,129,290463,71.64366845661901,0.45,0.330350915139557,0.16868815825558234
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,Utility-Cost-Ratio,0.1,0.45,0.7599342034723621,0.4971358235234688,0.05797752808988764,0.0014360138925995191,0.002802611425529835,0.007164366845661901,2096,89703,129,290463,71.64366845661901,0.45,0.330350915139557,0.16868815825558234
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,CB-Score,0.1,0.45,0.7652062940811891,0.5002727313206875,1.0,0.0005454626413750112,0.001090330548169246,0.0,0,89783,49,292559,0.0,0.45,0.34080018127090217,0.23115878333411843
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,Historical-DoubleCost,0.1,0.45,0.7652062940811891,0.5002727313206875,1.0,0.0005454626413750112,0.001090330548169246,0.0,0,89783,49,292559,0.0,0.45,0.34080018127090217,0.23115878333411843
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,Oort-Style-Adapted,0.1,0.45,0.7599342034723621,0.4971358235234688,0.05797752808988764,0.0014360138925995191,0.002802611425529835,0.007164366845661901,2096,89703,129,290463,71.64366845661901,0.45,0.330350915139557,0.16868815825558234
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.1__seed42,CICIDS2017_COVERAGE_R1,42,Oracle-Score-Exact,0.1,0.45,0.7652062940811891,0.5002727313206875,1.0,0.0005454626413750112,0.001090330548169246,0.0,0,89783,49,292559,0.0,0.45,0.34080018127090217,0.23115878333411843
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.2__seed42,CICIDS2017_COVERAGE_R1,42,Random-Budget,0.2,0.45,0.7295778404826473,0.4770232510673788,0.004236359652326346,0.0006456496571377682,0.0011205239415395612,0.0465991475223801,13633,89774,58,278926,465.991475223801,0.45,0.3026093354848256,0.22887316604214172
