method,beta,attack_prevalence,n_seeds,seedwise_PPV_median,seedwise_PPV_Q1,seedwise_PPV_Q3,seedwise_NPV_median,seedwise_NPV_Q1,seedwise_NPV_Q3
CB-FedSelect,0.2,0.001,10,0.0183702672508053,0.01787361506298225,0.019268866988672875,0.9998610970050882,0.999858871612316,0.9998632247944679
CB-FedSelect,0.2,0.005,10,0.08587843104340384,0.08371215967645558,0.08977705858996937,0.9993030821845152,0.9992919230430983,0.99931375205799
CB-FedSelect,0.2,0.01,10,0.15884514427549418,0.15515043902412387,0.16545634482120314,0.9986001103017819,0.9985777110698862,0.9986215278539545
CB-FedSelect,0.2,0.05,10,0.4959587039929467,0.48897880591580684,0.5081221823921294,0.9927485816171768,0.9926332431337183,0.9928588825948033
CB-FedSelect,0.2,0.1,10,0.675035347403443,0.6688785807597828,0.6856154435964059,0.984813812536647,0.9845742237540477,0.9850429860273492
CB-FedSelect,0.2,0.25,10,0.8617213009907976,0.8583587131434428,0.8674164342323611,0.9557844260889372,0.9551076862138091,0.9564322531263584
CB-FedSelect,0.2,0.5,10,0.9492264998224011,0.9478629530588221,0.9515202813318929,0.8781307225828099,0.8764188684826757,0.8797728689881418
CB-FedSelect,0.2,0.75,10,0.9824825511169326,0.9819951550593397,0.9833003468631696,0.7060428450994831,0.7027309108933143,0.7092346639592944
CB-FedSelect,0.4,0.001,10,0.017974836038587398,0.017356653409267824,0.0181938278802981,0.9998559898037707,0.9998540204031575,0.9998664175117499
CB-FedSelect,0.4,0.005,10,0.08415439197060375,0.08144811389278092,0.08510967157323392,0.9992774726419866,0.9992675975706486,0.9993297628146933
CB-FedSelect,0.4,0.01,10,0.1559060466101848,0.1512718835506932,0.15753550142325026,0.9985487062286427,0.9985288854828028,0.9986536680542024
CB-FedSelect,0.4,0.05,10,0.4904182081465505,0.481498498741687,0.49349792601830866,0.9924839245809423,0.9923819074596889,0.9930244885092308
CB-FedSelect,0.4,0.1,10,0.6701539003080943,0.6622062848367244,0.6728710587796012,0.9842641440182414,0.9840523515991486,0.9853873011931138
CB-FedSelect,0.4,0.25,10,0.8590584977302391,0.8546713395077966,0.8605428482761683,0.9542328157809884,0.9536358712167411,0.9574079873225362
CB-FedSelect,0.4,0.5,10,0.9481473421068738,0.9463593393950054,0.9487493172224815,0.8742124198655821,0.872711030896357,0.8822627465011346
CB-FedSelect,0.4,0.75,10,0.9820968940024004,0.981456547074286,0.9823120768347399,0.6984900799054488,0.6956217239316568,0.7141463660696299
Full-Contextual,,0.001,10,0.0178693890733845,0.01741437029596115,0.019060136724997977,0.9998610452155086,0.9998557008778044,0.9998671307576511
Full-Contextual,,0.005,10,0.0836938309254761,0.08170182787683568,0.0888720176036888,0.9993028224684477,0.9992760239778554,0.9993333392198283
Full-Contextual,,0.01,10,0.15511937135433024,0.15170828047938184,0.16392259611127946,0.9985995889367714,0.9985457987541644,0.9986608464604667
Full-Contextual,,0.05,10,0.48892183807339873,0.48235618368857675,0.5053087122293827,0.992745894900867,0.9924689688959922,0.9930614367700854
Full-Contextual,,0.1,10,0.6688291621304169,0.6629791543131662,0.6831720140309694,0.984808225607626,0.9842331207721603,0.9854640105371691
Full-Contextual,,0.25,10,0.8583322054120639,0.8551030675714664,0.8661032712003607,0.955768584283837,0.9541456382304444,0.9576242234220529
Full-Contextual,,0.5,10,0.9478522972025414,0.9465362823520926,0.9509917832624104,0.878090236324572,0.8739949231664251,0.8828067411680072
Full-Contextual,,0.75,10,0.9819913588935042,0.9815200524548174,0.9831119760027934,0.7059627381284281,0.6980820231870932,0.7151856639722161
