dataset_protocol,metadata_view,attacker,target,client_id,n_observations,positive_rate,mean_oriented_oof_score,median_oriented_oof_score,client_group_auc
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,0,300,0.6,0.5112962823530784,0.5634401255887069,0.475462962962963
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,1,300,0.6,0.5239737607272195,0.567199986050384,0.5260416666666667
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,2,300,0.5,0.4985134008168939,0.5014023911443213,0.8602888888888888
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,3,300,0.4,0.49489059869174534,0.5004935997508478,0.6907638888888888
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,4,300,0.3,0.4958094531548762,0.5018902062384305,0.7306084656084656
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,5,300,0.5,0.49257192092752755,0.5017970174323338,0.7204666666666667
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,6,300,0.6,0.502183125153809,0.5031745571384487,0.47071759259259266
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,7,300,0.7,0.5345510843829686,0.5614264042252558,0.3482539682539682
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,8,300,0.5,0.48529803132850136,0.5089039483548148,0.5470222222222222
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,9,300,0.3,0.48771400853314684,0.471844781918706,0.6941269841269841
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,0,300,0.4,0.5009358823326953,0.4749010668291162,0.32833333333333337
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,1,300,0.7,0.49718283934684865,0.4963859157998587,0.5453968253968254
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,2,300,0.6,0.4974735243916166,0.4973005595168313,0.6923842592592593
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,3,300,0.2,0.49859206836596265,0.5007171516664057,0.5796180555555556
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,4,300,0.6,0.5026240817423434,0.5070922910248375,0.4601157407407408
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,5,300,0.3,0.5002631659653082,0.5000781037987425,0.5067724867724868
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,6,300,0.4,0.49709559420316585,0.4969880774917558,0.5134027777777778
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,7,300,0.3,0.49792796393495675,0.4956426572015811,0.4174603174603174
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,8,300,0.7,0.4976964007411006,0.5029840797356415,0.2984126984126984
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,9,300,0.8,0.49007779409707514,0.5015041034992438,0.40173611111111107
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,0,300,0.6,0.4909223334640133,0.5024215143694344,0.49884259259259256
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,1,300,0.6,0.5012368286309387,0.5295238216620679,0.637800925925926
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,2,300,0.5,0.49458534551481004,0.4982049172623843,0.8820000000000001
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,3,300,0.4,0.5027874814833205,0.5013783683408575,0.7052777777777778
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,4,300,0.3,0.5024589956124765,0.49303159205196756,0.7683862433862434
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,5,300,0.5,0.4872950741341477,0.5016768904405735,0.7402000000000001
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,6,300,0.6,0.48840763028849316,0.5040946724517406,0.48405092592592597
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,7,300,0.7,0.5014592062066167,0.5241277019746196,0.370952380952381
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,8,300,0.5,0.48550708294705314,0.5154869802033273,0.5617777777777777
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,9,300,0.3,0.5029879167224713,0.4844425280134697,0.6979365079365079
