dataset_protocol,metadata_view,target,attacker,client_group_auc_sorted,ecdf
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.4252910052910053,0.1
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.5148842592592593,0.2
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.6006944444444444,0.3
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.6297453703703705,0.4
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.6598941798941799,0.5
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.6815555555555556,0.6
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.7137037037037037,0.7
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.7584920634920634,0.8
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.7809111111111111,0.9
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,0.8759111111111111,1.0
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.3423148148148148,0.1
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.3502314814814814,0.2
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.453015873015873,0.3
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.45341269841269843,0.4
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.4748677248677249,0.5
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.48336805555555556,0.6
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.5004166666666666,0.7
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.5080952380952382,0.8
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.5129398148148148,0.9
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,0.556712962962963,1.0
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.41179894179894183,0.1
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.473287037037037,0.2
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.4769444444444444,0.3
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.5012,0.4
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.5019111111111111,0.5
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.5168,0.6
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.6046296296296296,0.7
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.608994708994709,0.8
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.622010582010582,0.9
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.6837962962962963,1.0
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.3796296296296296,0.1
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.4002083333333333,0.2
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.42825396825396833,0.3
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.4422222222222223,0.4
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.4599305555555555,0.5
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.5321296296296296,0.6
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.5340211640211641,0.7
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.5398611111111111,0.8
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.5833333333333334,0.9
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.6851322751322751,1.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.49269841269841264,0.1
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.54375,0.2
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.5532888888888888,0.3
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.5618055555555556,0.4
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.5809722222222222,0.5
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.616031746031746,0.6
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.7043518518518519,0.7
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.7993650793650794,0.8
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.8178666666666667,0.9
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,0.8478222222222223,1.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.3824338624338624,0.1
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.4077777777777778,0.2
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.4140277777777778,0.3
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.44875,0.4
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.45835978835978836,0.5
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.4653703703703703,0.6
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.47,0.7
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.4984656084656085,0.8
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.5612962962962962,0.9
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,0.6298611111111111,1.0
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.48804232804232806,0.1
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.5677777777777777,0.2
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.5770666666666666,0.3
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.6239351851851851,0.4
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.6316203703703703,0.5
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.7214285714285714,0.6
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.7718055555555556,0.7
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.8066666666666666,0.8
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.8596825396825397,0.9
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.9395111111111111,1.0
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.35451388888888885,0.1
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.36337962962962966,0.2
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.3737037037037037,0.3
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.39615740740740746,0.4
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.4242328042328042,0.5
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.4860648148148148,0.6
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.4897916666666667,0.7
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.5140277777777778,0.8
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.57,0.9
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,0.6456613756613756,1.0
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.5259953703703704,0.1
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.5339947089947089,0.2
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.5652444444444444,0.3
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.6325777777777778,0.4
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.7090211640211641,0.5
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.7246825396825397,0.6
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.7841555555555556,0.7
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.7917592592592593,0.8
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.8006944444444444,0.9
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,0.9050925925925927,1.0
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.3772222222222222,0.1
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.47405092592592596,0.2
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.5271777777777777,0.3
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.5778472222222222,0.4
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.6286574074074074,0.5
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.7548222222222222,0.6
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.7548677248677248,0.7
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.7767592592592593,0.8
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.8285714285714286,0.9
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,0.8307407407407408,1.0
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.47513227513227513,0.1
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.5538888888888889,0.2
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.6082222222222222,0.3
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.6949537037037037,0.4
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.7098222222222222,0.5
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.7173015873015872,0.6
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.7286111111111112,0.7
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.7505291005291006,0.8
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.8119907407407408,0.9
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,0.869688888888889,1.0
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.41606481481481483,0.1
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.4511574074074074,0.2
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.5725777777777779,0.3
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.5896296296296295,0.4
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.6712698412698412,0.5
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.6767129629629629,0.6
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.7329333333333333,0.7
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.756712962962963,0.8
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.8061574074074074,0.9
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,0.8284126984126985,1.0
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.5214666666666667,0.1
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.5841798941798942,0.2
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.6186111111111111,0.3
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.6442666666666667,0.4
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.7299537037037037,0.5
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.7409523809523811,0.6
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.7546031746031746,0.7
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.7637499999999999,0.8
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.8706018518518519,0.9
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,0.8956,1.0
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.26935185185185184,0.1
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.4539814814814815,0.2
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.49689814814814814,0.3
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.532175925925926,0.4
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.5536507936507937,0.5
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.5634222222222223,0.6
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.7356018518518519,0.7
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.7504444444444445,0.8
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.7682539682539683,0.9
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,0.7939351851851852,1.0
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.5713777777777778,0.1
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.6118981481481481,0.2
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.6341777777777778,0.3
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.6967195767195767,0.4
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.7546031746031747,0.5
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.7967592592592592,0.6
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.8195111111111111,0.7
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.8452380952380952,0.8
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.885462962962963,0.9
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,0.9430555555555556,1.0
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.34587962962962965,0.1
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.47078703703703706,0.2
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.5147999999999999,0.3
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.5281481481481481,0.4
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.6156481481481481,0.5
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.6958730158730159,0.6
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.7005777777777777,0.7
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.743101851851852,0.8
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,0.8142857142857143,0.9
