dataset_protocol,metadata_view,target,attacker,n_client_groups,group_auc_min,group_auc_q1,group_auc_median,group_auc_q3,group_auc_max,group_auc_mean,auc_oriented,group_bootstrap_ci_low,group_bootstrap_ci_high
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,attack_ratio_above_seed_median,RandomForest,10,0.4252910052910053,0.6079571759259259,0.6707248677248677,0.7472949735449735,0.8759111111111111,0.6641082804232804,0.6631124444444445,0.5918155616180191,0.7313805106621772
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,client_size_above_seed_median,MLP,10,0.3423148148148148,0.45311507936507933,0.4791178902116402,0.5061755952380953,0.556712962962963,0.4635375330687831,0.4725548888888889,0.3842647194933578,0.5681085408498199
CICIDS2017_COVERAGE_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,10,0.41179894179894183,0.48300833333333326,0.5093555555555556,0.6079034391534391,0.6837962962962963,0.540137275132275,0.5742333333333334,0.5240050697863764,0.6231084393037518
CICIDS2017_COVERAGE_R1,No-Size,client_size_above_seed_median,LogisticRegression,10,0.3796296296296296,0.4317460317460318,0.49603009259259256,0.5384011243386244,0.6851322751322751,0.49847222222222226,0.5725262222222222,0.5010653326139511,0.6200450330469348
CICIDS2017_COVERAGE_R1,Noisy-Quantized,attack_ratio_above_seed_median,RandomForest,10,0.49269841269841264,0.5554180555555555,0.5985019841269841,0.7756117724867725,0.8478222222222223,0.6517952645502645,0.6501804444444444,0.5809206486017411,0.7203601472254597
CICIDS2017_COVERAGE_R1,Noisy-Quantized,client_size_above_seed_median,RandomForest,10,0.3824338624338624,0.42270833333333335,0.46186507936507937,0.49134920634920637,0.6298611111111111,0.4736342592592592,0.482028,0.4198669216757741,0.5387046526022359
CICIDS2017_COVERAGE_R1,Raw,attack_ratio_above_seed_median,RandomForest,10,0.48804232804232806,0.5887837962962963,0.6765244708994709,0.797951388888889,0.9395111111111111,0.6987536772486772,0.6929000000000001,0.6223919292766636,0.7727081296885983
CICIDS2017_COVERAGE_R1,Raw,client_size_above_seed_median,RandomForest,10,0.35451388888888885,0.37931712962962966,0.4551488095238095,0.50796875,0.6456613756613756,0.4617533068783069,0.5011951111111111,0.4109776533627445,0.5774131456133417
CICIoT2023_R1,Minimal-Bucketed,attack_ratio_above_seed_median,LogisticRegression,10,0.5259953703703704,0.5820777777777778,0.7168518518518519,0.7898583333333333,0.9050925925925927,0.6973217857142857,0.697754,0.627533450133547,0.7700879548821549
CICIoT2023_R1,Minimal-Bucketed,client_size_above_seed_median,LogisticRegression,10,0.3772222222222222,0.5398451388888889,0.6917398148148148,0.7712863756613757,0.8307407407407408,0.6530716931216931,0.6097191111111111,0.5137824230603434,0.7051434957854407
CICIoT2023_R1,No-Size,attack_ratio_above_seed_median,LogisticRegression,10,0.47513227513227513,0.6299050925925926,0.7135619047619047,0.7450496031746032,0.869688888888889,0.6920140740740741,0.6834866666666666,0.6152094293205497,0.751309580727914
CICIoT2023_R1,No-Size,client_size_above_seed_median,LogisticRegression,10,0.41606481481481483,0.5768407407407408,0.6739914021164021,0.7507680555555556,0.8284126984126985,0.6501628835978835,0.5678746666666667,0.4767347676659316,0.6783923492203808
CICIoT2023_R1,Noisy-Quantized,attack_ratio_above_seed_median,LogisticRegression,10,0.5214666666666667,0.6250249999999999,0.7354530423280424,0.7614632936507936,0.8956,0.712398544973545,0.6899911111111111,0.6130966422364673,0.7690703187148499
CICIoT2023_R1,Noisy-Quantized,client_size_above_seed_median,LogisticRegression,10,0.26935185185185184,0.5057175925925926,0.558536507936508,0.7467337962962963,0.7939351851851852,0.5917715873015873,0.5438297777777779,0.4545744072829132,0.6504996704826036
CICIoT2023_R1,Raw,attack_ratio_above_seed_median,RandomForest,10,0.5713777777777778,0.6498132275132276,0.7756812169312169,0.8388063492063492,0.9430555555555556,0.7558803439153439,0.7406391111111111,0.6620679273445489,0.819487470274305
CICIoT2023_R1,Raw,client_size_above_seed_median,RandomForest,10,0.34587962962962965,0.518137037037037,0.655760582010582,0.7324708333333334,0.8390277777777778,0.6268129100529101,0.5922942222222223,0.5057081832733094,0.6806780255649565
