dataset_protocol,selection_method,aggregation_method,attack,utility_report,n_seeds,focal_beta,test_F1_mean,test_F1_ci_low,test_F1_ci_high,test_PR_AUC_mean,test_PR_AUC_ci_low,test_PR_AUC_ci_high,test_FPR_mean,test_FPR_ci_low,test_FPR_ci_high,malicious_share_selected_uplink_mean,malicious_share_selected_uplink_ci_low,malicious_share_selected_uplink_ci_high
CICIDS2017_COVERAGE_R1,CB-FedSelect,FedAvg,clean,forged_inflated,10,0.4,0.0554993450783439,0.0037654612123943,0.1519372692641,0.22345529375546,0.1809034972733572,0.2859155822640626,0.0052611609965852,0.0016013778417344,0.0098845873823741,0.8188060854080037,0.7688929659062689,0.8696896679932267
CICIDS2017_COVERAGE_R1,CB-FedSelect,FedAvg,clean,honest,10,0.4,0.0068441359952645,0.0037489155380437,0.0102857431304411,0.1820189302897573,0.1722432035072615,0.1960715946655918,0.0050687211810266,0.0023017152095816,0.0081682669136823,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-FedSelect,FedAvg,label-flip,forged_inflated,10,0.4,0.0422455125726012,0.0015487736846922,0.115352668823329,0.2362545607056351,0.1634198082451166,0.3345423546622728,0.0178716088036942,0.0094520763333207,0.0264061095368796,0.743891642077549,0.6887006384144586,0.7874249433904729
CICIDS2017_COVERAGE_R1,CB-FedSelect,FedAvg,label-flip,honest,10,0.4,0.0030892699693315,0.002573043126113,0.003751312573,0.1877198503606767,0.1736770813640877,0.2050732438847326,0.0072508451286748,0.0011160056603966,0.0155572209366315,0.0489790908849367,0.0290579004918325,0.0696428589490786
CICIDS2017_COVERAGE_R1,CB-FedSelect,FedAvg,sign-flip,forged_inflated,10,0.4,0.3043714516234914,0.1902321572646821,0.3804643145293643,0.2349218470099975,0.2349218470099975,0.2349218470099975,0.8,0.5,1.0,0.9966991437055708,0.9912013489720668,1.0
CICIDS2017_COVERAGE_R1,CB-FedSelect,FedAvg,sign-flip,honest,10,0.4,0.1624341229579104,0.0419022462065667,0.2860805871068534,0.229299490288398,0.2011899086074225,0.2609539072185405,0.3792896475582702,0.1112065514990138,0.6636158860264083,0.1037889708339426,0.0566272103289024,0.1572725216659102
CICIDS2017_COVERAGE_R1,CB-FedSelect,Norm-Clipped-Averaging,clean,forged_inflated,10,0.4,0.0056886442635023,0.0029824825496972,0.010036211713852,0.1827240875565809,0.173886576976666,0.1947874971363443,0.0022381810164786,0.0009840664618076,0.0040368182144455,0.8202034843436536,0.7690517376735007,0.8720351135569313
CICIDS2017_COVERAGE_R1,CB-FedSelect,Norm-Clipped-Averaging,clean,honest,10,0.4,0.0049939170602993,0.0028003333734009,0.0091962202709565,0.1818755098114148,0.173797816763375,0.1926314485981921,0.0081877501632148,0.003062279745282,0.0142832813210326,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-FedSelect,Norm-Clipped-Averaging,label-flip,forged_inflated,10,0.4,0.0079177768486358,0.0013144156453038,0.0184184014715371,0.1736163037609309,0.1610625309418374,0.1874544047308577,0.0228948690691449,0.0159694112982337,0.0292454855259963,0.7564915888148086,0.7063429768679353,0.795681401813531
CICIDS2017_COVERAGE_R1,CB-FedSelect,Norm-Clipped-Averaging,label-flip,honest,10,0.4,0.0052676996889538,0.0027161523676495,0.0087884765362553,0.187036750356248,0.1734622067847176,0.2033006405108215,0.0011580570073044,0.0005236550576122,0.0019548450056227,0.0562226458193257,0.0284977821963163,0.0861243494908466
