dataset_protocol,beta,n_seeds,cb_metric_f1,full_metric_f1,delta_metric_f1,cb_metric_pr_auc,full_metric_pr_auc,delta_metric_pr_auc,cb_metric_fpr,full_metric_fpr,delta_metric_fpr,cb_metric_roc_auc,full_metric_roc_auc,delta_metric_roc_auc,cb_metric_false_positives_per_10000_benign,full_metric_false_positives_per_10000_benign,delta_metric_false_positives_per_10000_benign,cb_comm_selected_uplink,full_comm_selected_uplink,reduction_comm_selected_uplink_pct,cb_comm_E2E_broadcast,full_comm_E2E_broadcast,reduction_comm_E2E_broadcast_pct,cb_comm_E2E_unicast,full_comm_E2E_unicast,reduction_comm_E2E_unicast_pct,cb_comm_selected_airtime_us,full_comm_selected_airtime_us,reduction_comm_selected_airtime_us_pct,cb_comm_wall_clock_seconds,full_comm_wall_clock_seconds,reduction_comm_wall_clock_seconds_pct,cb_mean_selected_count,full_mean_selected_count,cb_mean_budget_utilization,full_mean_budget_utilization,cb_empty_round_rate,full_empty_round_rate
CICIDS2017_COVERAGE_R1,0.1,10,0.0406693605016023,0.004252422535036786,0.03641693796656552,0.2056291145901743,0.17374355098046187,0.031885563609712425,0.027258091530255435,0.0012291537775286352,0.0260289377527268,0.34240393237088673,0.34913084146500706,-0.006726909094120326,272.5809153025544,12.291537775286352,260.289377527268,1747015.9,18529604.8,90.5717584435476,3819503.0,20577630.5,81.43856747743624,22242386.9,39009861.8,42.98265650354085,4308927.4,48289089.1,91.07680952300258,60.310050790001334,152.65832860999961,60.49344222543071,0.9666666666666667,10.0,0.9589702825725108,1.0,0.03333333333333333,0.0
CICIDS2017_COVERAGE_R1,0.2,10,0.005148504501016419,0.004252422535036786,0.000896081965979633,0.18129001156618088,0.17374355098046187,0.007546460585719006,0.008524776198988922,0.0012291537775286352,0.007295622421460287,0.3649420310475299,0.34913084146500706,0.015811189582522867,85.24776198988921,12.291537775286352,72.95622421460286,3454585.1,18529604.8,81.35640162169028,5527114.6,20577630.5,73.14017957509733,23950380.1,39009861.8,38.60429390190764,7975541.7,48289089.1,83.48376030973837,140.41807091999982,152.65832860999961,8.018073957347138,1.89,10.0,0.9415765009566761,1.0,0.0,0.0
CICIDS2017_COVERAGE_R1,0.4,10,0.006844135995264594,0.004252422535036786,0.002591713460227808,0.18201893028975738,0.17374355098046187,0.008275379309295505,0.005068721181026733,0.0012291537775286352,0.0038395674034980972,0.3559232611547113,0.34913084146500706,0.006792419689704232,50.687211810267335,12.291537775286352,38.395674034980985,6483982.9,18529604.8,65.0074409574024,8557196.4,20577630.5,58.41505463906547,26986617.9,39009861.8,30.82103689995641,15552033.8,48289089.1,67.79389694472411,56.89660762999993,152.65832860999961,62.72944414624424,3.5166666666666666,10.0,0.8784998557642016,1.0,0.0,0.0
CICIDS2017_COVERAGE_R1,0.6,10,0.004810450728695687,0.004252422535036786,0.0005580281936589009,0.1766355821210914,0.17374355098046187,0.002892031140629525,0.006387087732730834,0.0012291537775286352,0.0051579339552021986,0.3497323913127712,0.34913084146500706,0.0006015498477641157,63.870877327308335,12.291537775286352,51.579339552021985,9118000.3,18529604.8,50.792257048029434,11191540.0,20577630.5,45.61307726854168,29623897.3,39009861.8,24.060491544730354,20568305.2,48289089.1,57.40589523772981,56.14056123000337,152.65832860999961,63.22469809464035,4.943333333333333,10.0,0.8235696245956321,1.0,0.0,0.0
CICIDS2017_COVERAGE_R1,0.8,10,0.004669289966077554,0.004252422535036786,0.00041686743104076777,0.18490567806963018,0.17374355098046187,0.011162127089168306,0.0023557641364647815,0.0012291537775286352,0.0011266103589361463,0.3724041648457843,0.34913084146500706,0.023273323380777255,23.557641364647814,12.291537775286352,11.266103589361462,10826675.5,18529604.8,41.57093139946514,12900111.3,20577630.5,37.31002556392487,31331533.5,39009861.8,19.683044096300794,25707114.1,48289089.1,46.76413537897943,58.608502330004555,152.65832860999961,61.608054494207586,5.85,10.0,0.731199434807023,1.0,0.0,0.0
CICIDS2017_COVERAGE_R1,1.0,10,0.004488324585756518,0.004252422535036786,0.00023590205071973187,0.18721385935851334,0.17374355098046187,0.013470308378051465,0.005867534411862222,0.0012291537775286352,0.004638380634333587,0.3763087698197046,0.34913084146500706,0.027177928354697567,58.67534411862223,12.291537775286352,46.38380634333588,11815658.6,18529604.8,36.2336178913001,13889200.3,20577630.5,32.50340314935677,32321575.6,39009861.8,17.14511636644659,27431120.0,48289089.1,43.19395848781915,55.65221373999884,152.65832860999961,63.54459383465735,6.383333333333333,10.0,0.6383409356068235,1.0,0.0,0.0
CICIoT2023_R1,0.1,10,0.8708963462071168,0.9218090119020942,-0.05091266569497743,0.9665113571292596,0.9874069072980145,-0.020895550168754884,0.06811251783166904,0.04709789586305278,0.021014621968616254,0.9113761130181715,0.9587910169916661,-0.04741490397349468,681.1251783166904,470.9789586305278,210.14621968616257,1098064.1,13398719.9,91.8047088961088,2618522.3,14895029.8,82.42016071696614,16073146.1,28361818.9,43.328225327607605,3203080.1,34881766.8,90.81732264777368,39.223819859985085,37.85078282999966,-3.627499690434899,0.8633333333333333,10.0,0.8558498275366855,1.0,0.13666666666666666,0.0
CICIoT2023_R1,0.2,10,0.9195887267491465,0.9218090119020942,-0.0022202851529476986,0.9871604972541802,0.9874069072980145,-0.00024641004383429976,0.046366797432239655,0.04709789586305278,-0.0007310984308131277,0.9581472406423059,0.9587910169916661,-0.0006437763493601922,463.66797432239656,470.9789586305278,-7.310984308131253,2298040.5,13398719.9,82.84880557880757,3819620.9,14895029.8,74.35640645713914,17284344.5,28361818.9,39.05770091494378,6118481.6,34881766.8,82.45937014864741,38.87979010000563,37.85078282999966,-2.7185891362606185,1.7066666666666668,10.0,0.8533562258330238,1.0,0.0,0.0
CICIoT2023_R1,0.4,10,0.9154162234094376,0.9218090119020942,-0.006392788492656565,0.987542664249374,0.9874069072980145,0.00013575695135947807,0.041280313837375175,0.04709789586305278,-0.005817582025677608,0.9592968846529182,0.9587910169916661,0.0005058676612520463,412.8031383737518,470.9789586305278,-58.175820256776035,4915395.9,13398719.9,63.31443647836835,6437315.1,14895029.8,56.78212674673535,19905087.9,28361818.9,29.8173083673417,13293656.4,34881766.8,61.889383424236414,39.61638268000097,37.85078282999966,-4.664632321955398,3.6233333333333335,10.0,0.9065937964604648,1.0,0.003333333333333333,0.0
CICIoT2023_R1,0.6,10,0.9198110293214441,0.9218090119020942,-0.001997982580650093,0.9874832627011537,0.9874069072980145,7.635540313921663e-05,0.046308844507845934,0.04709789586305278,-0.000789051355206849,0.9588831833396657,0.9587910169916661,9.216634799957824e-05,463.08844507845936,470.9789586305278,-7.890513552068455,7374261.0,13398719.9,44.96294381077405,8896384.1,14895029.8,40.2728009312207,22365992.0,28361818.9,21.14048792547646,19219503.3,34881766.8,44.90100398240148,40.06262291998428,37.85078282999966,-5.843578189435927,5.426666666666667,10.0,0.9053190163611289,1.0,0.0,0.0
CICIoT2023_R1,0.8,10,0.9198673202616647,0.9218090119020942,-0.0019416916404294549,0.9875307618807017,0.9874069072980145,0.0001238545826871551,0.04464158345221113,0.04709789586305278,-0.0024563124108416545,0.9591335476435534,0.9587910169916661,0.00034253065188727394,446.41583452211125,470.9789586305278,-24.56312410841656,9487583.3,13398719.9,29.190375119342548,11009625.5,14895029.8,26.085240192000157,24478505.3,28361818.9,13.692047092226511,23698853.3,34881766.8,32.059481287513215,40.27614745998435,37.85078282999966,-6.407700049105469,6.973333333333334,10.0,0.8731011859578695,1.0,0.0,0.0
CICIoT2023_R1,1.0,10,0.923100627462933,0.9218090119020942,0.001291615560838788,0.9878497772975491,0.9874069072980145,0.0004428699995345786,0.04839069186875892,0.04709789586305278,0.0012927960057061358,0.9602287402589614,0.9587910169916661,0.0014377232672952989,483.90691868758915,470.9789586305278,12.927960057061341,10315028.1,13398719.9,23.0148239758337,11837075.8,14895029.8,20.530029419612173,25306005.1,28361818.9,10.774392893397955,25784057.1,34881766.8,26.081562187383224,39.94460568000068,37.85078282999966,-5.531782154691656,7.593333333333333,10.0,0.7607587699205723,1.0,0.0,0.0
