dataset_protocol,beta,method,endpoint,fraction_of_full_final,n_seeds,reached_seeds,reached_fraction,mean_E2E_broadcast_bytes_when_reached,mean_round_when_reached,mean_target_value
CICIDS2017_COVERAGE_R1,0.1,CB-Score,F1,0.9,10,9,0.9,160626.88888888888,0.2222222222222222,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,CB-Score,F1,0.95,10,9,0.9,160626.88888888888,0.2222222222222222,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,CB-Score,PR_AUC,0.9,10,10,1.0,190863.3,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,CB-Score,PR_AUC,0.95,10,10,1.0,190863.3,0.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Cost-Only,F1,0.9,10,9,0.9,500699.55555555556,2.888888888888889,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Cost-Only,F1,0.95,10,9,0.9,500699.55555555556,2.888888888888889,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Cost-Only,PR_AUC,0.9,10,10,1.0,144424.1,0.1,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Cost-Only,PR_AUC,0.95,10,10,1.0,144424.1,0.1,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Full-Contextual,F1,0.9,10,10,1.0,3051563.0,3.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Full-Contextual,F1,0.95,10,10,1.0,3872692.2,4.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Full-Contextual,PR_AUC,0.9,10,10,1.0,697578.7,0.0,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Full-Contextual,PR_AUC,0.95,10,10,1.0,2409103.2,2.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Historical-DoubleCost,F1,0.9,10,9,0.9,160626.88888888888,0.2222222222222222,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Historical-DoubleCost,F1,0.95,10,9,0.9,160626.88888888888,0.2222222222222222,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Historical-DoubleCost,PR_AUC,0.9,10,10,1.0,190863.3,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Historical-DoubleCost,PR_AUC,0.95,10,10,1.0,190863.3,0.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Oort-Style-Adapted,F1,0.9,10,10,1.0,404668.1,2.1,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Oort-Style-Adapted,F1,0.95,10,10,1.0,404668.1,2.1,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Oort-Style-Adapted,PR_AUC,0.9,10,10,1.0,177723.2,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Oort-Style-Adapted,PR_AUC,0.95,10,10,1.0,177723.2,0.4,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Oracle-Score-Exact,F1,0.9,10,9,0.9,160626.88888888888,0.2222222222222222,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Oracle-Score-Exact,F1,0.95,10,9,0.9,160626.88888888888,0.2222222222222222,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Oracle-Score-Exact,PR_AUC,0.9,10,10,1.0,190863.3,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Oracle-Score-Exact,PR_AUC,0.95,10,10,1.0,190863.3,0.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Random-Budget,F1,0.9,10,10,1.0,415747.1,2.2,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Random-Budget,F1,0.95,10,10,1.0,415747.1,2.2,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Random-Budget,PR_AUC,0.9,10,10,1.0,131380.9,0.0,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Random-Budget,PR_AUC,0.95,10,10,1.0,131380.9,0.0,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Utility-Cost-Ratio,F1,0.9,10,9,0.9,160626.88888888888,0.2222222222222222,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Utility-Cost-Ratio,F1,0.95,10,9,0.9,160626.88888888888,0.2222222222222222,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Utility-Cost-Ratio,PR_AUC,0.9,10,10,1.0,190863.3,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Utility-Cost-Ratio,PR_AUC,0.95,10,10,1.0,190863.3,0.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.1,Utility-Only,F1,0.9,10,9,0.9,160626.88888888888,0.2222222222222222,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.1,Utility-Only,F1,0.95,10,9,0.9,160626.88888888888,0.2222222222222222,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.1,Utility-Only,PR_AUC,0.9,10,10,1.0,190863.3,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.1,Utility-Only,PR_AUC,0.95,10,10,1.0,190863.3,0.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.2,CB-Score,F1,0.9,10,10,1.0,278446.0,0.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.2,CB-Score,F1,0.95,10,10,1.0,278446.0,0.5,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.2,CB-Score,PR_AUC,0.9,10,10,1.0,201294.3,0.1,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.2,CB-Score,PR_AUC,0.95,10,10,1.0,220735.0,0.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.2,Cost-Only,F1,0.9,10,9,0.9,187277.77777777778,0.0,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.2,Cost-Only,F1,0.95,10,9,0.9,187277.77777777778,0.0,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.2,Cost-Only,PR_AUC,0.9,10,10,1.0,226781.3,0.2,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.2,Cost-Only,PR_AUC,0.95,10,10,1.0,226781.3,0.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.2,Full-Contextual,F1,0.9,10,10,1.0,3051563.0,3.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.2,Full-Contextual,F1,0.95,10,10,1.0,3872692.2,4.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.2,Full-Contextual,PR_AUC,0.9,10,10,1.0,697578.7,0.0,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.2,Full-Contextual,PR_AUC,0.95,10,10,1.0,2409103.2,2.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.2,Historical-DoubleCost,F1,0.9,10,10,1.0,278446.0,0.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.2,Historical-DoubleCost,F1,0.95,10,10,1.0,278446.0,0.5,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.2,Historical-DoubleCost,PR_AUC,0.9,10,10,1.0,201294.3,0.1,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.2,Historical-DoubleCost,PR_AUC,0.95,10,10,1.0,220735.0,0.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,F1,0.9,10,10,1.0,246974.3,0.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,F1,0.95,10,10,1.0,246974.3,0.4,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,PR_AUC,0.9,10,10,1.0,195080.0,0.1,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,PR_AUC,0.95,10,10,1.0,214520.7,0.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,F1,0.9,10,10,1.0,284739.3,0.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,F1,0.95,10,10,1.0,284739.3,0.5,0.000482045409344451
