selection,aggregation,attack,reported_utility,F1_mean,PR_AUC_mean,FPR_mean,malicious_selection_rate,malicious_budget_fraction
CB-Score,FedAvg,clean,forged_inflated,0.9180178140739033,0.9873864967622956,0.04444989300998573,0.8025,0.8024248242722605
CB-Score,FedAvg,clean,honest,0.9154162234094376,0.987542664249374,0.041280313837375175,0.0,0.0
CB-Score,FedAvg,label-flip,forged_inflated,0.6858582738515671,0.9152741021541917,0.033340763195435094,0.7097222222222223,0.7089610784051643
CB-Score,FedAvg,label-flip,honest,0.9136077659021132,0.9854670158677611,0.04306348074179743,0.09555555555555555,0.09445003500843097
CB-Score,FedAvg,sign-flip,forged_inflated,0.31167607822563254,0.7398778818947362,0.4,0.9105555555555556,0.911767926511266
CB-Score,FedAvg,sign-flip,honest,0.9011952215813264,0.922844265463222,0.23018009985734664,0.05222222222222222,0.05289662167455977
CB-Score,Norm-Clipped-Averaging,clean,forged_inflated,0.9169662073537925,0.987175186232613,0.04297432239657632,0.7941666666666667,0.794088731033431
CB-Score,Norm-Clipped-Averaging,clean,honest,0.9162375915672438,0.9875721427056772,0.04424928673323823,0.0,0.0
CB-Score,Norm-Clipped-Averaging,label-flip,forged_inflated,0.40074571698386735,0.8758865967892555,0.031116262482168332,0.6977777777777778,0.696518976898479
CB-Score,Norm-Clipped-Averaging,label-flip,honest,0.9200497865828876,0.9868395246126752,0.0478601997146933,0.10388888888888889,0.10268414170889752
CB-Score,Norm-Clipped-Averaging,sign-flip,forged_inflated,0.31041365621453604,0.7395881585797959,0.4,0.9055555555555556,0.9069637368748306
CB-Score,Norm-Clipped-Averaging,sign-flip,honest,0.9108568722178382,0.9617686587666048,0.13641226818830243,0.06555555555555555,0.06636906412500897
Full-Contextual,FedAvg,clean,honest,0.9218090119020942,0.9874069072980145,0.04709789586305278,0.0,0.0
Full-Contextual,FedAvg,label-flip,honest,0.9029854423394141,0.9784859003320389,0.04574268901569187,0.30000000000000004,0.2982544141722344
Full-Contextual,FedAvg,sign-flip,honest,0.5341479808077022,0.8492449370353881,0.2234620185449358,0.30000000000000004,0.3037782698475595
Full-Contextual,Norm-Clipped-Averaging,clean,honest,0.9219531841700795,0.9875528787401577,0.045764978601997144,0.0,0.0
Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,0.9066941146718617,0.9806810631444806,0.04531027104136947,0.30000000000000004,0.2983957873876468
Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,0.7273982013957845,0.9493766298949403,0.03420114122681883,0.30000000000000004,0.3034201936445022
