dataset_protocol,method,beta,seed,threshold_analysis,f1,pr_auc,roc_auc,fpr,precision,recall,false_positives_per_10000_benign,threshold
CICIDS2017_COVERAGE_R1,CB-Score,0.1,123,fixed_0.5,0.0028687755845130253,0.17736435663964256,0.3789030143706189,0.0022867182346125057,0.16270337922403003,0.0014471457832398254,22.867182346125055,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,123,method_specific,0.002698040603299571,0.17736435663964256,0.3789030143706189,0.0016475309253859906,0.20198675496688742,0.0013580906581173746,16.475309253859905,0.59
CICIDS2017_COVERAGE_R1,CB-Score,0.1,123,shared_full_threshold,0.0023941211026257746,0.17736435663964256,0.3789030143706189,0.000960490020816314,0.2776349614395887,0.0012022441891530857,9.604900208163139,0.77
CICIoT2023_R1,CB-Score,0.4,2026,fixed_0.5,0.8876564465929409,0.9879795130206734,0.9604295746110245,0.004413338088445079,0.9981570080235307,0.7991831989387548,44.13338088445079,0.5
CICIoT2023_R1,CB-Score,0.4,2026,method_specific,0.9184033013252917,0.9879795130206734,0.9604295746110245,0.047031027104136945,0.9820940613384477,0.862470376056401,470.31027104136945,0.26
CICIoT2023_R1,CB-Score,0.4,2026,shared_full_threshold,0.9032294774147923,0.9879795130206734,0.9604295746110245,0.01662803138373752,0.9933311878709862,0.8281140540459972,166.2803138373752,0.36
CICIDS2017_COVERAGE_R1,CB-Score,0.1,9001,fixed_0.5,0.0178554144677713,0.14521691196272313,0.17482450187189016,0.4279341944701752,0.015236012679634713,0.0215624721702734,4279.341944701752,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,9001,method_specific,0.014153744183156354,0.14521691196272313,0.17482450187189016,0.1845132093013717,0.018634330800276332,0.011410187906314009,1845.132093013717,0.95
CICIDS2017_COVERAGE_R1,CB-Score,0.1,9001,shared_full_threshold,0.014818428112825719,0.14521691196272313,0.17482450187189016,0.20764016830793106,0.018166830987053708,0.012512245079704337,2076.4016830793107,0.79
CICIoT2023_R1,CB-Score,0.2,2026,fixed_0.5,0.9108961918489946,0.9867012819662568,0.956008243089086,0.02371611982881598,0.990681380276756,0.8430042777719814,237.16119828815977,0.5
CICIoT2023_R1,CB-Score,0.2,2026,method_specific,0.9208580701337766,0.9867012819662568,0.956008243089086,0.04783345221112696,0.981886932595081,0.8669717249705624,478.3345221112696,0.43
CICIoT2023_R1,CB-Score,0.2,2026,shared_full_threshold,0.9287885098964842,0.9867012819662568,0.956008243089086,0.10458273894436519,0.9624946044028073,0.897363282705579,1045.827389443652,0.36
CICIDS2017_COVERAGE_R1,CB-Score,0.2,2027,fixed_0.5,0.004341406439385592,0.2037458612068654,0.4732883842018626,0.002478132615985152,0.21366594360086769,0.0021929824561403508,24.781326159851517,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.2,2027,method_specific,0.00323574388865495,0.2037458612068654,0.4732883842018626,0.0009023820836139035,0.35609756097560974,0.001625256033484727,9.023820836139036,0.72
CICIDS2017_COVERAGE_R1,CB-Score,0.2,2027,shared_full_threshold,0.003288130730781538,0.2037458612068654,0.4732883842018626,0.002214937841597763,0.18695106649937265,0.0016586517054056461,22.149378415977633,0.54
CICIDS2017_COVERAGE_R1,CB-Score,0.4,123,fixed_0.5,0.003294018813490002,0.17246531144325397,0.34807753123793533,0.0016612033811983225,0.2346456692913386,0.0016586517054056461,16.612033811983224,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.4,123,method_specific,0.003148454042548474,0.17246531144325397,0.34807753123793533,0.0007827480952559997,0.38274932614555257,0.0015807284709235016,7.827480952559997,0.62
CICIDS2017_COVERAGE_R1,CB-Score,0.4,123,shared_full_threshold,0.0027734019657873134,0.17246531144325397,0.34807753123793533,0.0006323510813203491,0.4032258064516129,0.0013914863300382937,6.323510813203491,0.77
CICIoT2023_R1,CB-Score,0.8,123,fixed_0.5,0.9063825989598968,0.9869720735038345,0.9571669294803058,0.013685805991440798,0.994534059751451,0.8325855927024489,136.858059914408,0.5
CICIoT2023_R1,CB-Score,0.8,123,method_specific,0.9227237101485991,0.9869720735038345,0.9571669294803058,0.042171897289586306,0.9840262064773226,0.8686112891445946,421.71897289586303,0.44
CICIoT2023_R1,CB-Score,0.8,123,shared_full_threshold,0.9127126627428562,0.9869720735038345,0.9571669294803058,0.019124465049928673,0.9924879176297542,0.8448077983634169,191.24465049928673,0.48
