dataset_protocol,aggregation,model_attack,reported_utility,n_seeds,test_F1_mean,test_F1_sd,test_PR_AUC_mean,test_PR_AUC_sd,test_FPR_mean,test_FPR_sd,mean_malicious_selection_rate_mean,mean_malicious_selection_rate_sd,mean_malicious_budget_fraction_mean,mean_malicious_budget_fraction_sd,malicious_reported_utility_mean_mean,malicious_reported_utility_mean_sd,malicious_actual_utility_mean_mean,malicious_actual_utility_mean_sd,benign_reported_utility_mean_mean,benign_reported_utility_mean_sd
CICIDS2017_COVERAGE_R1,FedAvg,clean,forged_inflated,10,0.05549934507834405,0.15085370402030907,0.22345529375546003,0.0944607162285103,0.005261160996585305,0.007182559699245326,0.8180555555555555,0.08602893330883013,0.8188060854080037,0.08563186392475035,1.0627888389042583,0.05591776117841808,0.06278883890425833,0.05591776117841805,0.09345505426016364,0.05753866561111347
CICIDS2017_COVERAGE_R1,FedAvg,clean,honest,10,0.006844135995264594,0.005643046540165481,0.18201893028975738,0.02083385181685645,0.005068721181026733,0.0050509530655767,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.061477034823146884,0.0344107318757637
CICIDS2017_COVERAGE_R1,FedAvg,label-flip,forged_inflated,10,0.042245512572601264,0.11394870821451814,0.2362545607056352,0.15017960844804232,0.017871608803694296,0.014345286983745547,0.7447222222222222,0.08630950860548428,0.7438916420775489,0.08556230894407849,0.8777462102366628,0.11126799491386721,-0.12225378976333715,0.11126799491386725,0.23597164006610946,0.06273947064800868
CICIDS2017_COVERAGE_R1,FedAvg,label-flip,honest,10,0.003089269969331633,0.001026936034849449,0.1877198503606768,0.026869443682939975,0.007250845128674899,0.012848184007978833,0.049166666666666664,0.03479436948915942,0.04897909088493677,0.03458156747495523,-0.4254823516449138,0.144538803877457,-0.4254823516449138,0.144538803877457,0.07984809534131668,0.056129932988126206
CICIDS2017_COVERAGE_R1,FedAvg,sign-flip,forged_inflated,10,0.30437145162349144,0.16041784031033127,0.23492184700999763,0.0,0.8,0.4216370213557839,0.9966666666666667,0.00749942841900616,0.996699143705571,0.007429354859290381,1.020191319321465,0.010730094620458226,0.020191319321464937,0.010730094620458257,0.02082334759633969,0.010328504389749511
CICIDS2017_COVERAGE_R1,FedAvg,sign-flip,honest,10,0.1624341229579105,0.20682937656558462,0.22929949028839808,0.0511212450766841,0.37928964755827027,0.46775997831418703,0.10277777777777777,0.08490291397294555,0.10378897083394269,0.08581940854609221,0.08955093234866521,0.0846283500308783,0.08955093234866521,0.0846283500308783,0.09248712604124337,0.0766864550982427
CICIDS2017_COVERAGE_R1,Norm-Clipped-Averaging,clean,forged_inflated,10,0.005688644263502409,0.0066656670207323925,0.1827240875565809,0.018324340389519425,0.0022381810164787273,0.0026909788429364256,0.8194444444444444,0.0881625416197603,0.8202034843436535,0.0876720909869073,1.064063406602538,0.06278938014100222,0.06406340660253801,0.06278938014100229,0.0928875765872445,0.05821439634697061
CICIDS2017_COVERAGE_R1,Norm-Clipped-Averaging,clean,honest,10,0.0049939170602994335,0.006576163100008575,0.18187550981141484,0.016291373199674705,0.008187750163214942,0.009654391336043927,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.061756768639026516,0.028852835278675434
CICIDS2017_COVERAGE_R1,Norm-Clipped-Averaging,label-flip,forged_inflated,10,0.007917776848635927,0.016255538064524504,0.17361630376093096,0.02258300484247074,0.022894869069145028,0.01129337314612745,0.7575000000000001,0.07652261023085406,0.7564915888148085,0.07597203689511633,0.8982252981558725,0.12047860758654877,-0.10177470184412747,0.12047860758654874,0.24251990914771704,0.10803293036140713
CICIDS2017_COVERAGE_R1,Norm-Clipped-Averaging,label-flip,honest,10,0.005267699688953862,0.005380012413757238,0.18703675035624803,0.0255173121387409,0.0011580570073045095,0.0012417399506988894,0.056388888888888884,0.04932761200279708,0.05622264581932584,0.04927758999162851,-0.41678971797927844,0.1531078485719195,-0.41678971797927844,0.1531078485719195,0.07691741858315129,0.05322927637155766
