dataset_protocol,method,beta,n_seeds,metric_accuracy_mean,metric_accuracy_sd,metric_balanced_accuracy_mean,metric_balanced_accuracy_sd,metric_f1_mean,metric_f1_sd,metric_fpr_mean,metric_fpr_sd,metric_pr_auc_mean,metric_pr_auc_sd,metric_precision_mean,metric_precision_sd,metric_recall_mean,metric_recall_sd,metric_roc_auc_mean,metric_roc_auc_sd,metric_false_positives_per_10000_benign_mean,metric_false_positives_per_10000_benign_sd,comm_E2E_broadcast_mean,comm_E2E_broadcast_sd,comm_E2E_unicast_mean,comm_E2E_unicast_sd,comm_downlink_broadcast_mean,comm_downlink_broadcast_sd,comm_downlink_unicast_mean,comm_downlink_unicast_sd,comm_empty_rounds_mean,comm_empty_rounds_sd,comm_full_candidate_airtime_us_mean,comm_full_candidate_airtime_us_sd,comm_metadata_wire_mean,comm_metadata_wire_sd,comm_selected_airtime_us_mean,comm_selected_airtime_us_sd,comm_selected_uplink_mean,comm_selected_uplink_sd,comm_wall_clock_seconds_mean,comm_wall_clock_seconds_sd,comm_sum_client_CPU_seconds_mean,comm_sum_client_CPU_seconds_sd,comm_max_client_seconds_mean,comm_max_client_seconds_sd,comm_server_selection_seconds_mean,comm_server_selection_seconds_sd,comm_aggregation_seconds_mean,comm_aggregation_seconds_sd,mean_selected_count_mean,mean_selected_count_sd,mean_static_eligible_count_mean,mean_static_eligible_count_sd,mean_budget_utilization_mean,mean_budget_utilization_sd,empty_round_rate_mean,empty_round_rate_sd,mean_airtime_reduction_mean,mean_airtime_reduction_sd,mean_actual_aggregate_validation_gain_mean,mean_actual_aggregate_validation_gain_sd,test_attack_prevalence
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,10,0.7646411657178124,0.0015219201929177958,0.5004568675853652,0.001490400019899503,0.004252422535036786,0.004423489927978709,0.0012291537775286352,0.0018202591321881349,0.17374355098046187,0.007601204948891591,0.4661070998572942,0.22237075072441023,0.002142888948258972,0.0022395198099783623,0.34913084146500706,0.03102190584256352,12.291537775286352,18.20259132188135,20577630.5,97524.38103395251,39009861.8,97609.73570272361,2048025.7,870.3991485392078,20480257.0,8703.991485392076,0.0,0.0,48289089.1,240074.5019379748,0.0,0.0,48289089.1,240074.5019379748,18529604.8,97553.72991194818,152.65832860999961,6.465316482147053,111.43453696000324,5.444019889195778,14.715395819999959,1.4020863392305944,0.0006198600000971056,3.982618337077887e-05,0.15109865999957037,0.00663789115839102,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0019776286585407284,0.0018836884664684677,0.23492184700999763
CICIDS2017_COVERAGE_R1,CB-Score,0.1,10,0.7508610296790459,0.04544035957868232,0.5004978800519531,0.04674278884351687,0.0406693605016023,0.116864930786182,0.027258091530255435,0.05725373005449542,0.2056291145901743,0.08933361750618089,0.25690782303930315,0.2693549110517266,0.028253851634161543,0.08190746146258844,0.34240393237088673,0.13478317724393912,272.5809153025544,572.5373005449542,3819503.0,120261.87687708852,22242386.9,121795.09986079078,2046987.1,992.7061162969297,20469871.0,9927.061162969298,1.0,1.9436506316151,47437347.9,507453.1870020568,25500.0,0.0,4308927.4,1831734.51474547,1747015.9,120131.33361214856,60.310050790001334,2.8096565880497564,42.34861617000515,2.274027679019298,5.689716490003593,0.407130668337282,0.01407781999969302,0.0009556345460884248,0.008478539999487111,0.0007470992664862024,0.9666666666666667,0.06478835438717,3.62,0.8818051071033668,0.9589702825725108,0.06538350765623441,0.03333333333333333,0.06478835438717001,0.909034742107229,0.038683727324662735,0.0023608755397871175,0.002170782624506849,0.23492184700999763
CICIDS2017_COVERAGE_R1,Cost-Only,0.1,10,0.7507522405077526,0.02959083531805763,0.4914845876570652,0.018106505633967526,0.0040402187760298,0.0051736732682687485,0.019475387870480827,0.039775643859080057,0.19587086588393363,0.025920431573260454,0.2777890641134278,0.26746537389620045,0.0024445631846112745,0.003801435888942442,0.3482412702865767,0.061167364619803835,194.75387870480827,397.75643859080054,3843198.5,72184.63583562795,22269894.8,76445.85059126638,2047410.7,1173.33920926559,20474107.0,11733.3920926559,0.1,0.31622776601683794,47139665.8,1067352.0042382977,25500.0,0.0,6135387.9,4911713.826210233,1770287.8,71791.48330454432,124.17971842999978,28.508326326771662,86.98888134999652,19.245101819369967,11.16712600000028,2.3926918428471957,0.0033584500017241224,0.0007733162429009747,0.01876070999805961,0.004796175961622208,0.9966666666666667,0.010540925533894595,3.486666666666667,1.118000861326111,0.9766452358520341,0.02418329227173676,0.003333333333333333,0.010540925533894598,0.869350047078661,0.10469769731935026,0.0025297566394111275,0.002083246233324455,0.23492184700999763
CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.1,10,0.7508610296790459,0.04544035957868232,0.5004978800519531,0.04674278884351687,0.0406693605016023,0.116864930786182,0.027258091530255435,0.05725373005449542,0.2056291145901743,0.08933361750618089,0.25690782303930315,0.2693549110517266,0.028253851634161543,0.08190746146258844,0.34240393237088673,0.13478317724393912,272.5809153025544,572.5373005449542,3819503.0,120261.87687708852,22242386.9,121795.09986079078,2046987.1,992.7061162969297,20469871.0,9927.061162969298,1.0,1.9436506316151,47437347.9,507453.1870020568,25500.0,0.0,4308927.4,1831734.51474547,1747015.9,120131.33361214856,62.9010578799991,1.8732063210337904,44.12067810999288,2.000753861330516,5.863701019998189,0.40135419689874857,0.01431042000040179,0.0010684206262439565,0.009155160001864716,0.0008382932763825339,0.9666666666666667,0.06478835438717,3.62,0.8818051071033668,0.9589702825725108,0.06538350765623441,0.03333333333333333,0.06478835438717001,0.909034742107229,0.038683727324662735,0.0023608755397871175,0.002170782624506849,0.23492184700999763
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.1,10,0.7594789103300026,0.009115391528533022,0.4970681472491322,0.0059321886798735625,0.004064541419729361,0.0036393313927740585,0.00796318007649739,0.011982687822081558,0.17998888381670267,0.012229124474800306,0.21514577505300922,0.1561172395357192,0.0020994745747617777,0.0018989959930983736,0.35342436533618216,0.0559701906415348,79.6318007649739,119.82687822081557,3604696.8,406051.03086566186,22014981.6,438327.49162272114,2045587.2,3905.9129193228737,20455872.0,39059.129193228735,4.7,6.65081448646204,47618933.6,312617.5015279855,25500.0,0.0,3022829.9,1991567.3605330412,1533609.6,402494.50800592714,67.01942101000077,10.377902634837994,46.52329638999909,8.244433410427678,6.153621339999336,1.2195625787030429,0.004369349999251426,0.0006430531632527098,0.008535399998436333,0.002452408992226928,0.8433333333333334,0.22169381621540135,3.59,1.2140179183903503,0.839106092101958,0.2203432454719506,0.15666666666666665,0.22169381621540132,0.9364625109469799,0.04167940289449092,0.0022354608999749347,0.0018467827681915134,0.23492184700999763
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.1,10,0.7508610296790459,0.04544035957868232,0.5004978800519531,0.04674278884351687,0.0406693605016023,0.116864930786182,0.027258091530255435,0.05725373005449542,0.2056291145901743,0.08933361750618089,0.25690782303930315,0.2693549110517266,0.028253851634161543,0.08190746146258844,0.34240393237088673,0.13478317724393912,272.5809153025544,572.5373005449542,3819503.0,120261.87687708852,22242386.9,121795.09986079078,2046987.1,992.7061162969297,20469871.0,9927.061162969298,1.0,1.9436506316151,47437347.9,507453.1870020568,25500.0,0.0,4308927.4,1831734.51474547,1747015.9,120131.33361214856,79.57401325999926,6.369179230232918,55.46114883000064,5.0121374013837166,7.727025109997703,1.1762577756506978,0.01914358000158245,0.003747403352820137,0.012091500000497035,0.003967556986579755,0.9666666666666667,0.06478835438717,3.62,0.8818051071033668,0.9589702825725108,0.06538350765623441,0.03333333333333333,0.06478835438717001,0.909034742107229,0.038683727324662735,0.0023608755397871175,0.002170782624506849,0.23492184700999763
CICIDS2017_COVERAGE_R1,Random-Budget,0.1,10,0.7629965140392948,0.0056192481539042455,0.5059372090816207,0.021160532337727005,0.03449240499537697,0.0800979887931261,0.009188232117282326,0.009823266547629496,0.20174639684533274,0.04317929317041259,0.20715068459225544,0.18733009964696537,0.021062650280523645,0.05143406477767177,0.3815201141112581,0.11008725581301365,91.88232117282325,98.23266547629497,3884139.4,28981.3250068998,22316926.0,38185.77412539329,2048087.4,1365.2330041262392,20480874.0,13652.33004126239,0.0,0.0,47540890.8,642642.5132933204,23100.0,0.0,4500544.4,1984327.8409980095,1812952.0,28104.49973857488,99.47491651999954,30.202172642687017,70.27298995999827,21.5982668659324,9.598942240000088,2.9530734387669333,0.006843340000068565,0.0019319937686575097,0.017485789998863764,0.005374082091812761,1.0,0.0,3.77,0.9066898145193242,0.9931070025268296,0.00426090917522008,0.0,0.0,0.9054415903528569,0.04132578410634821,0.00219544791812194,0.001784527660439869,0.23492184700999763
CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.1,10,0.7618516126164058,0.00426613550339065,0.49913675474849534,0.0033339550760604357,0.006874561191853499,0.012224393895825254,0.005320977990764256,0.00618221030171926,0.18370489913461613,0.02030826606492391,0.19909791941668586,0.13261738753018093,0.00359448748775492,0.006519444127564901,0.3416255096516651,0.06711978454146011,53.20977990764256,61.82210301719261,3571008.7,480188.53720898,21979492.6,511405.88659654674,2045387.1,3864.285572895576,20453871.0,38642.85572895576,5.2,7.871185143010902,47552283.9,423964.14167774195,25500.0,0.0,3722898.1,2428309.5694080163,1500121.6,476750.37436242367,59.34261359000102,5.346353718255585,41.21512035000342,4.625929671253801,5.421284649998052,0.6283104685358212,0.001571400000830181,0.00015421656682547953,0.00750919999954931,0.0022070902880947474,0.8266666666666667,0.2623728381003634,3.3833333333333333,1.2718461355811057,0.8215926960010184,0.26107353588508125,0.17333333333333334,0.2623728381003634,0.9215210664181133,0.05135266128997717,0.0022248249725831198,0.0018473093428876875,0.23492184700999763
CICIDS2017_COVERAGE_R1,Utility-Only,0.1,10,0.7618516126164058,0.00426613550339065,0.49913675474849534,0.0033339550760604357,0.006874561191853499,0.012224393895825254,0.005320977990764256,0.00618221030171926,0.18370489913461613,0.02030826606492391,0.19909791941668586,0.13261738753018093,0.00359448748775492,0.006519444127564901,0.3416255096516651,0.06711978454146011,53.20977990764256,61.82210301719261,3571008.7,480188.53720898,21979492.6,511405.88659654674,2045387.1,3864.285572895576,20453871.0,38642.85572895576,5.2,7.871185143010902,47552283.9,423964.14167774195,25500.0,0.0,3722898.1,2428309.5694080163,1500121.6,476750.37436242367,74.83767381000052,29.11835461455464,51.759727610000844,18.999667764053928,6.719300770000155,2.217324228992943,0.0017591699981494458,0.0007325725751570251,0.00889200000128767,0.0040004532597575915,0.8266666666666667,0.2623728381003634,3.3833333333333333,1.2718461355811057,0.8215926960010184,0.26107353588508125,0.17333333333333334,0.2623728381003634,0.9215210664181133,0.05135266128997717,0.0022248249725831198,0.0018473093428876875,0.23492184700999763
CICIDS2017_COVERAGE_R1,CB-Score,0.2,10,0.7591862779197209,0.011770558865251912,0.4970790047226624,0.007681248382649525,0.005148504501016419,0.006492807130288894,0.008524776198988922,0.015514240583613755,0.18129001156618088,0.013369098987987315,0.1829957944083192,0.09438478456520281,0.00268278564431383,0.0034697110872223816,0.3649420310475299,0.06534044673464019,85.24776198988921,155.14240583613756,5527114.6,175197.9636380895,23950380.1,172585.07337378088,2047029.5,1180.1986885454687,20470295.0,11801.986885454688,0.0,0.0,47792006.9,464896.5781950146,25500.0,0.0,7975541.7,3047469.3913183496,3454585.1,175525.56486256418,140.41807091999982,6.742839107160879,99.9171143399828,6.715155679922453,12.959038469996084,1.130226760637106,0.03471291000132624,0.0005104734007228054,0.022490980003931328,0.0005865190101653436,1.89,0.10067672257843813,9.4,0.699205898780101,0.9415765009566761,0.0493749734401656,0.0,0.0,0.8329554004450919,0.06395117044723071,0.0022127416840319065,0.0018616946125427538,0.23492184700999763
