dataset_protocol,beta,endpoint,rank,method,value
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,1,CB-Score,0.0406693605016023
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,2,Historical-DoubleCost,0.0406693605016023
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,3,Oracle-Score-Exact,0.0406693605016023
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,4,Random-Budget,0.03449240499537697
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,5,Utility-Cost-Ratio,0.006874561191853499
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,6,Utility-Only,0.006874561191853499
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,7,Oort-Style-Adapted,0.004064541419729361
CICIDS2017_COVERAGE_R1,0.1,metric_f1_mean,8,Cost-Only,0.0040402187760298
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,1,CB-Score,0.2056291145901743
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,2,Historical-DoubleCost,0.2056291145901743
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,3,Oracle-Score-Exact,0.2056291145901743
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,4,Random-Budget,0.20174639684533274
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,5,Cost-Only,0.19587086588393363
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,6,Utility-Cost-Ratio,0.18370489913461613
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,7,Utility-Only,0.18370489913461613
CICIDS2017_COVERAGE_R1,0.1,metric_pr_auc_mean,8,Oort-Style-Adapted,0.17998888381670267
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,1,Utility-Cost-Ratio,0.005320977990764256
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,2,Utility-Only,0.005320977990764256
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,3,Oort-Style-Adapted,0.00796318007649739
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,4,Random-Budget,0.009188232117282326
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,5,Cost-Only,0.019475387870480827
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,6,CB-Score,0.027258091530255435
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,7,Historical-DoubleCost,0.027258091530255435
CICIDS2017_COVERAGE_R1,0.1,metric_fpr_mean,8,Oracle-Score-Exact,0.027258091530255435
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,1,Utility-Cost-Ratio,1500121.6
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,2,Utility-Only,1500121.6
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,3,Oort-Style-Adapted,1533609.6
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,4,CB-Score,1747015.9
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,5,Historical-DoubleCost,1747015.9
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,6,Oracle-Score-Exact,1747015.9
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,7,Cost-Only,1770287.8
CICIDS2017_COVERAGE_R1,0.1,comm_selected_uplink_mean,8,Random-Budget,1812952.0
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,1,Utility-Cost-Ratio,3571008.7
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,2,Utility-Only,3571008.7
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,3,Oort-Style-Adapted,3604696.8
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,4,CB-Score,3819503.0
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,5,Historical-DoubleCost,3819503.0
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,6,Oracle-Score-Exact,3819503.0
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,7,Cost-Only,3843198.5
CICIDS2017_COVERAGE_R1,0.1,comm_E2E_broadcast_mean,8,Random-Budget,3884139.4
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,1,Oort-Style-Adapted,0.13363592396418472
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,2,Utility-Only,0.1319960838036343
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,3,Utility-Cost-Ratio,0.10944840831002234
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,4,Oracle-Score-Exact,0.060292968068349696
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,5,Historical-DoubleCost,0.04421740269792091
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,6,Random-Budget,0.018166706330652774
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,7,CB-Score,0.005148504501016419
CICIDS2017_COVERAGE_R1,0.2,metric_f1_mean,8,Cost-Only,0.002618630183497002
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,1,Utility-Only,0.26759323159969917
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,2,Oort-Style-Adapted,0.25595250375800116
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,3,Utility-Cost-Ratio,0.24756813249222048
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,4,Oracle-Score-Exact,0.22147479100273737
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,5,Random-Budget,0.2080818331564418
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,6,Historical-DoubleCost,0.20537326080268004
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,7,Cost-Only,0.19211217028330652
CICIDS2017_COVERAGE_R1,0.2,metric_pr_auc_mean,8,CB-Score,0.18129001156618088
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,1,Cost-Only,0.0021055581950991083
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,2,CB-Score,0.008524776198988922
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,3,Random-Budget,0.010797480166393788
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,4,Historical-DoubleCost,0.021234007499342015
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,5,Oort-Style-Adapted,0.023756575596717244
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,6,Utility-Cost-Ratio,0.02385399184438011
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,7,Oracle-Score-Exact,0.024141797039229695
CICIDS2017_COVERAGE_R1,0.2,metric_fpr_mean,8,Utility-Only,0.024794314992873233
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,1,Oort-Style-Adapted,3096792.1
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,2,Utility-Cost-Ratio,3220195.0
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,3,Utility-Only,3221146.0
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,4,Random-Budget,3412598.3
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,5,Historical-DoubleCost,3429782.2
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,6,CB-Score,3454585.1
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,7,Oracle-Score-Exact,3481058.7
CICIDS2017_COVERAGE_R1,0.2,comm_selected_uplink_mean,8,Cost-Only,3580914.2
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,1,Oort-Style-Adapted,5169400.5
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,2,Utility-Cost-Ratio,5292677.1
CICIDS2017_COVERAGE_R1,0.2,comm_E2E_broadcast_mean,3,Utility-Only,5293517.2
