dataset_protocol,metadata_view,attacker,target,n_seeds,mean_auc_mean,mean_auc_sd,fold_mean_auc_mean,fold_mean_auc_sd,auc_ci_low_mean,auc_ci_low_sd,auc_ci_high_mean,auc_ci_high_sd,group_overlap_max_mean,group_overlap_max_sd,observations_mean,observations_sd,groups_mean,groups_sd
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,10,0.6134974888888889,0.006421028759242785,0.6196141383277216,0.00661194147061025,0.5369726123491861,0.006161250896584057,0.6901090168719776,0.005863073477703213,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,10,0.5185480222222222,0.010508181990248906,0.5323061110170694,0.008557929976465397,0.452140866925979,0.008443915855743445,0.5867168061522889,0.010862813884250467,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,10,0.6061041555555555,0.022760651088695637,0.6206557485446652,0.028697938105771984,0.5318540116946686,0.018747397498096202,0.6868561051158532,0.0268943634531651,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,MLP,client_size_above_seed_median,10,0.44756348888888886,0.048171599140392485,0.5084888228854478,0.02499413914671038,0.37114885267103964,0.04755146504523673,0.5409421458981791,0.045309329312792405,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,10,0.6220841111111112,0.0065560277563770746,0.6406211869581037,0.004484842043863364,0.5583724384269296,0.0061566783312390705,0.6938573490711311,0.00590967334282892,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,10,0.5108658444444445,0.009380065930578663,0.5131664494163245,0.013428504728748108,0.45127891881171694,0.008538902709224088,0.5727658854398202,0.011465691817702696,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,10,0.5517203555555555,0.010707081327497028,0.5548157071138737,0.009788594569284784,0.5147370502274098,0.0126783757326258,0.5916133048198471,0.009992117617717957,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,No-Size,LogisticRegression,client_size_above_seed_median,10,0.5174877333333333,0.009941835288198446,0.5290056022218522,0.014357109057920764,0.4841397418246861,0.013307752434859875,0.550639021871494,0.010501533742776098,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,No-Size,MLP,attack_ratio_above_seed_median,10,0.5161217333333333,0.027973781036129852,0.5690192807038641,0.011634309267175881,0.46222021767290655,0.03134270139257942,0.5850391556465603,0.018666553977968806,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,No-Size,MLP,client_size_above_seed_median,10,0.4409199555555555,0.05655038897565798,0.5247935586080587,0.01175011674102994,0.36908345042550544,0.058054074776751084,0.5328975664440101,0.0427018785373318,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,attack_ratio_above_seed_median,10,0.5500010222222222,0.01757426202083474,0.5548136295371295,0.01514423531635036,0.5213970391608699,0.018509606288931998,0.5808894953749194,0.016049268444425623,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,No-Size,RandomForest,client_size_above_seed_median,10,0.5123671333333333,0.015135549494353404,0.5219181182027849,0.014344125548396163,0.48821607900913855,0.01466541466152775,0.5390926555585721,0.016760148002422107,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,attack_ratio_above_seed_median,10,0.6879339555555556,0.007511586547010131,0.6829915737564904,0.009477371831974045,0.6046736032226252,0.007263014299938078,0.7652234289996953,0.00808443980827588,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,LogisticRegression,client_size_above_seed_median,10,0.9902334222222222,0.0012494908755213126,0.9964573515589349,0.0019010326587524792,0.980205513547567,0.001994319449527492,0.9984596616247563,0.0004899032332940287,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,attack_ratio_above_seed_median,10,0.6979740888888889,0.014500977267365177,0.6982711847689348,0.014818515560453703,0.6192857789581746,0.018003718924320348,0.7734109675005597,0.014490524352312332,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,10,0.9802095111111111,0.008460356623899868,0.9938230098913432,0.0027237357561343467,0.9618292764166326,0.016666256501587054,0.995630606270283,0.0021472244072033428,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,10,0.7121144,0.014606558346896397,0.7084148188956105,0.013875733905247274,0.6363612828825338,0.017802028087653566,0.787026873227037,0.014181198866684652,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,client_size_above_seed_median,10,0.9588765111111112,0.00993088012242799,0.9707126300643801,0.006494918237773512,0.9173931979657106,0.0167383452563973,0.9942255860394648,0.0024903468225713253,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Raw,LogisticRegression,attack_ratio_above_seed_median,10,0.6958061333333333,0.00749814877945169,0.6884133327814161,0.007873038052576536,0.6148356672364085,0.00810298880019706,0.7708342489288013,0.008397894009405538,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Raw,LogisticRegression,client_size_above_seed_median,10,0.9886376888888888,0.0012245101064601613,0.9960994726538893,0.0019871303043645402,0.9789631011180235,0.0017205367909252723,0.9979789011699934,0.0005549120311014465,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Raw,MLP,attack_ratio_above_seed_median,10,0.7093302666666667,0.01845410156997645,0.7077275480784647,0.014760584097415224,0.6332374634475274,0.02359496619941534,0.7857950519516863,0.017420725614062323,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Raw,MLP,client_size_above_seed_median,10,0.9827873333333333,0.007408069289688276,0.991143148687732,0.004605602451873156,0.9651298534083999,0.011139926001427717,0.9966324124115408,0.002800097634839543,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Raw,RandomForest,attack_ratio_above_seed_median,10,0.7262063333333334,0.011911338006982998,0.7205322564241314,0.011653229355845927,0.6465349311194516,0.010466942320004674,0.8033150883980191,0.012450442972727549,0.0,0.0,3000.0,0.0,10.0,0.0
CICIDS2017_COVERAGE_R1,Raw,RandomForest,client_size_above_seed_median,10,0.9708664,0.014362881810860857,0.9825817433029933,0.008367122092102932,0.9426212787605148,0.027983507154708428,0.9959911576047729,0.0022013771424297585,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Minimal-Bucketed,LogisticRegression,attack_ratio_above_seed_median,10,0.7022388222222222,0.004417031886817592,0.7001491247826248,0.0037055869585631072,0.6373157560352849,0.0032614141329636815,0.7633829703878026,0.006307753744234049,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Minimal-Bucketed,LogisticRegression,client_size_above_seed_median,10,0.5291912888888889,0.010382802055937763,0.5328628004325922,0.01346085494143866,0.4460393249028348,0.009741998056202312,0.6034110248031195,0.013295415794801015,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Minimal-Bucketed,MLP,attack_ratio_above_seed_median,10,0.6954730888888889,0.009999792704819878,0.6968629464640298,0.01133273141782458,0.6254031548923977,0.009519595972122215,0.7627124318235459,0.014597689489204025,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Minimal-Bucketed,MLP,client_size_above_seed_median,10,0.5141086666666667,0.024775568213499823,0.5433706407990158,0.0163404192123081,0.45210135297189613,0.027908501182087483,0.5811280133270209,0.022827046080713,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Minimal-Bucketed,RandomForest,attack_ratio_above_seed_median,10,0.6693741111111111,0.014346211823396328,0.6735642487419987,0.012781406787784347,0.5678896031909579,0.016031070520908138,0.7596911711367202,0.012560441117354113,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,Minimal-Bucketed,RandomForest,client_size_above_seed_median,10,0.5341125777777778,0.013026412806621198,0.5507079850226934,0.011540863470185828,0.4855635434721788,0.02037652534456489,0.593059025802511,0.008574859986388588,0.0,0.0,3000.0,0.0,10.0,0.0
CICIoT2023_R1,No-Size,LogisticRegression,attack_ratio_above_seed_median,10,0.6110144888888889,0.007872038941766331,0.6128954358635192,0.005350200015064183,0.576665008295152,0.014426415613103132,0.643785177532647,0.006048327925462501,0.0,0.0,3000.0,0.0,10.0,0.0
