dataset_protocol,selection,aggregation,model_attack,reported_utility,n_seeds,test_F1_mean,delta_test_F1_vs_clean,test_PR_AUC_mean,delta_test_PR_AUC_vs_clean,test_FPR_mean,delta_test_FPR_vs_clean,mean_malicious_selection_rate,mean_malicious_budget_fraction
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,forged_inflated,10,0.05549934507834405,0.04865520908307946,0.22345529375546003,0.04143636346570265,0.005261160996585305,0.00019243981555857204,0.8180555555555555,0.8188060854080037
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,clean,honest,10,0.006844135995264594,0.0,0.18201893028975738,0.0,0.005068721181026733,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,forged_inflated,10,0.042245512572601264,0.03540137657733667,0.2362545607056352,0.05423563041587781,0.017871608803694296,0.012802887622667562,0.7447222222222222,0.7438916420775489
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,label-flip,honest,10,0.003089269969331633,-0.003754866025932961,0.1877198503606768,0.0057009200709194074,0.007250845128674899,0.0021821239476481668,0.049166666666666664,0.04897909088493677
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,forged_inflated,10,0.30437145162349144,0.2975273156282269,0.23492184700999763,0.05290291672024025,0.8,0.7949312788189733,0.9966666666666667,0.996699143705571
CICIDS2017_COVERAGE_R1,CB-Score,FedAvg,sign-flip,honest,10,0.1624341229579105,0.1555899869626459,0.22929949028839808,0.0472805599986407,0.37928964755827027,0.3742209263772435,0.10277777777777777,0.10378897083394269
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,forged_inflated,10,0.005688644263502409,0.0006947272032029753,0.1827240875565809,0.000848577745166057,0.0022381810164787273,-0.005949569146736215,0.8194444444444444,0.8202034843436535
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,10,0.0049939170602994335,0.0,0.18187550981141484,0.0,0.008187750163214942,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,forged_inflated,10,0.007917776848635927,0.0029238597883364933,0.17361630376093096,-0.008259206050483886,0.022894869069145028,0.014707118905930086,0.7575000000000001,0.7564915888148085
CICIDS2017_COVERAGE_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,10,0.005267699688953862,0.0002737826286544282,0.18703675035624803,0.00516124054483319,0.0011580570073045095,-0.007029693155910432,0.056388888888888884,0.05622264581932584
