dataset_protocol,seed,beta,method,endpoint,normalized_auc,start_value,end_value
CICIDS2017_COVERAGE_R1,42,0.1,Full-Contextual,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Full-Contextual,validation_PR_AUC,0.0362239308860659,0.0328001974846566,0.03375680221997603
CICIDS2017_COVERAGE_R1,42,0.1,Full-Contextual,validation_FPR,0.01583702743784394,0.0548032075934866,0.03173942579832056
CICIDS2017_COVERAGE_R1,42,0.1,Random-Budget,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Random-Budget,validation_PR_AUC,0.03603095539465747,0.03677729605098513,0.030350274616231795
CICIDS2017_COVERAGE_R1,42,0.1,Random-Budget,validation_FPR,0.002296208255685626,0.0004353140205845845,0.002331439466492386
CICIDS2017_COVERAGE_R1,42,0.1,Cost-Only,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Cost-Only,validation_PR_AUC,0.036918791690328356,0.037466485214681364,0.0358556656565867
CICIDS2017_COVERAGE_R1,42,0.1,Cost-Only,validation_FPR,7.48433015342928e-05,0.0,0.00029699913174122936
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Only,validation_F1,0.09962758773442838,0.1013087169899509,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Only,validation_PR_AUC,0.050199327420324936,0.0475785252974172,0.0312491622147732
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Only,validation_FPR,0.24116935084998892,0.3095695933229687,0.0013296784223876
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Cost-Ratio,validation_F1,0.09962758773442838,0.1013087169899509,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Cost-Ratio,validation_PR_AUC,0.050199327420324936,0.0475785252974172,0.0312491622147732
CICIDS2017_COVERAGE_R1,42,0.1,Utility-Cost-Ratio,validation_FPR,0.24116935084998892,0.3095695933229687,0.0013296784223876
CICIDS2017_COVERAGE_R1,42,0.1,CB-Score,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.1,CB-Score,validation_PR_AUC,0.03492729130434712,0.03835823627796578,0.033477211813313354
CICIDS2017_COVERAGE_R1,42,0.1,CB-Score,validation_FPR,0.0011361160332377432,0.0016213629999531345,0.0008286155999087246
CICIDS2017_COVERAGE_R1,42,0.1,Historical-DoubleCost,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Historical-DoubleCost,validation_PR_AUC,0.03492729130434712,0.03835823627796578,0.033477211813313354
CICIDS2017_COVERAGE_R1,42,0.1,Historical-DoubleCost,validation_FPR,0.0011361160332377432,0.0016213629999531345,0.0008286155999087246
CICIDS2017_COVERAGE_R1,42,0.1,Oort-Style-Adapted,validation_F1,0.09962758773442838,0.1013087169899509,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Oort-Style-Adapted,validation_PR_AUC,0.050199327420324936,0.0475785252974172,0.0312491622147732
CICIDS2017_COVERAGE_R1,42,0.1,Oort-Style-Adapted,validation_FPR,0.24116935084998892,0.3095695933229687,0.0013296784223876
CICIDS2017_COVERAGE_R1,42,0.1,Oracle-Score-Exact,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.1,Oracle-Score-Exact,validation_PR_AUC,0.03492729130434712,0.03835823627796578,0.033477211813313354
CICIDS2017_COVERAGE_R1,42,0.1,Oracle-Score-Exact,validation_FPR,0.0011361160332377432,0.0016213629999531345,0.0008286155999087246
CICIDS2017_COVERAGE_R1,42,0.2,Full-Contextual,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.2,Full-Contextual,validation_PR_AUC,0.03406072450497069,0.0328001974846566,0.03259949717642993
CICIDS2017_COVERAGE_R1,42,0.2,Full-Contextual,validation_FPR,0.012991296172875484,0.0548032075934866,0.0007011113131095488
CICIDS2017_COVERAGE_R1,42,0.2,Random-Budget,validation_F1,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,42,0.2,Random-Budget,validation_PR_AUC,0.036389979802029494,0.037110464137027864,0.03446480956835502
