dataset_protocol,beta,method,endpoint,n_seeds,normalized_auc_mean,normalized_auc_sd,end_value_mean
CICIDS2017_COVERAGE_R1,0.1,CB-Score,validation_F1,10,0.01793622149486603,0.02664819237224977,0.008435297356624072
CICIDS2017_COVERAGE_R1,0.1,CB-Score,validation_FPR,10,0.033931455211470604,0.05283512248446962,0.00886593406188237
CICIDS2017_COVERAGE_R1,0.1,CB-Score,validation_PR_AUC,10,0.03440132327073673,0.0057924999078017595,0.034029455661084666
CICIDS2017_COVERAGE_R1,0.1,Cost-Only,validation_F1,10,0.02383092728732003,0.043970419332775186,0.024545237271788173
CICIDS2017_COVERAGE_R1,0.1,Cost-Only,validation_FPR,10,0.05692385890138836,0.10876132484864903,0.03912340750100101
CICIDS2017_COVERAGE_R1,0.1,Cost-Only,validation_PR_AUC,10,0.04008757039404634,0.014870534736627854,0.04181303374684768
CICIDS2017_COVERAGE_R1,0.1,Full-Contextual,validation_F1,10,0.00022870974284487048,0.00048309496066828927,0.00024106492864805796
CICIDS2017_COVERAGE_R1,0.1,Full-Contextual,validation_FPR,10,0.02802462175620899,0.022298787902324802,0.03571587745961306
CICIDS2017_COVERAGE_R1,0.1,Full-Contextual,validation_PR_AUC,10,0.032757784028578533,0.002827443077804894,0.02991168062586811
CICIDS2017_COVERAGE_R1,0.1,Historical-DoubleCost,validation_F1,10,0.01793622149486603,0.02664819237224977,0.008435297356624072
CICIDS2017_COVERAGE_R1,0.1,Historical-DoubleCost,validation_FPR,10,0.033931455211470604,0.05283512248446962,0.00886593406188237
CICIDS2017_COVERAGE_R1,0.1,Historical-DoubleCost,validation_PR_AUC,10,0.03440132327073673,0.0057924999078017595,0.034029455661084666
CICIDS2017_COVERAGE_R1,0.1,Oort-Style-Adapted,validation_F1,10,0.03303410330316218,0.03443074537651814,0.01174656770571111
CICIDS2017_COVERAGE_R1,0.1,Oort-Style-Adapted,validation_FPR,10,0.05979482401004334,0.06986042276614221,0.030825508424361384
CICIDS2017_COVERAGE_R1,0.1,Oort-Style-Adapted,validation_PR_AUC,10,0.03716084475685398,0.007018594786361738,0.033543177326440604
CICIDS2017_COVERAGE_R1,0.1,Oracle-Score-Exact,validation_F1,10,0.01793622149486603,0.02664819237224977,0.008435297356624072
CICIDS2017_COVERAGE_R1,0.1,Oracle-Score-Exact,validation_FPR,10,0.033931455211470604,0.05283512248446962,0.00886593406188237
CICIDS2017_COVERAGE_R1,0.1,Oracle-Score-Exact,validation_PR_AUC,10,0.03440132327073673,0.0057924999078017595,0.034029455661084666
CICIDS2017_COVERAGE_R1,0.1,Random-Budget,validation_F1,10,0.01072216819544071,0.019088663344547067,0.011685241722996138
CICIDS2017_COVERAGE_R1,0.1,Random-Budget,validation_FPR,10,0.044761122470987964,0.05675126349731817,0.027409168997154898
CICIDS2017_COVERAGE_R1,0.1,Random-Budget,validation_PR_AUC,10,0.03405841185828684,0.006629640407390321,0.036614233785912775
CICIDS2017_COVERAGE_R1,0.1,Utility-Cost-Ratio,validation_F1,10,0.028630843273404427,0.03436440449687473,0.003650616863329969
CICIDS2017_COVERAGE_R1,0.1,Utility-Cost-Ratio,validation_FPR,10,0.05465428899358317,0.07561630654734595,0.014519893748194524
CICIDS2017_COVERAGE_R1,0.1,Utility-Cost-Ratio,validation_PR_AUC,10,0.036428118405892815,0.007247296751520785,0.0346784178421602
CICIDS2017_COVERAGE_R1,0.1,Utility-Only,validation_F1,10,0.028630843273404427,0.03436440449687473,0.003650616863329969
CICIDS2017_COVERAGE_R1,0.1,Utility-Only,validation_FPR,10,0.05465428899358317,0.07561630654734595,0.014519893748194524
CICIDS2017_COVERAGE_R1,0.1,Utility-Only,validation_PR_AUC,10,0.036428118405892815,0.007247296751520785,0.0346784178421602
CICIDS2017_COVERAGE_R1,0.2,CB-Score,validation_F1,10,0.015826725636956196,0.025471808562492666,0.02608360080433764
CICIDS2017_COVERAGE_R1,0.2,CB-Score,validation_FPR,10,0.024841864684446754,0.020042501739887413,0.018566173415610846
CICIDS2017_COVERAGE_R1,0.2,CB-Score,validation_PR_AUC,10,0.03392221301872664,0.0070421285579390525,0.03570572088585558
CICIDS2017_COVERAGE_R1,0.2,Cost-Only,validation_F1,10,0.010556790701163726,0.020075989715572687,0.0003744449132921323
CICIDS2017_COVERAGE_R1,0.2,Cost-Only,validation_FPR,10,0.0404066016684577,0.06465016344410467,0.008509827674970502
CICIDS2017_COVERAGE_R1,0.2,Cost-Only,validation_PR_AUC,10,0.03463768874878357,0.007565656569421751,0.030534061705438112
CICIDS2017_COVERAGE_R1,0.2,Full-Contextual,validation_F1,10,0.0002915899236692988,0.00041544941461422156,0.00039330291408000255
CICIDS2017_COVERAGE_R1,0.2,Full-Contextual,validation_FPR,10,0.02758619009003498,0.016775315226748737,0.02841710677166977
CICIDS2017_COVERAGE_R1,0.2,Full-Contextual,validation_PR_AUC,10,0.03138349428016251,0.0025474135377561513,0.027836522816815992
CICIDS2017_COVERAGE_R1,0.2,Historical-DoubleCost,validation_F1,10,0.020277061817867686,0.02499902985890811,0.024923473109905663
CICIDS2017_COVERAGE_R1,0.2,Historical-DoubleCost,validation_FPR,10,0.029478652556725923,0.02238474953655684,0.01037046861800597
CICIDS2017_COVERAGE_R1,0.2,Historical-DoubleCost,validation_PR_AUC,10,0.03533732781067274,0.007206565342176598,0.03596999137754995
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,validation_F1,10,0.023729709523391162,0.013166739836974273,0.04448185277434221
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,validation_FPR,10,0.03598928884749557,0.011435262663658302,0.027481842276996623
CICIDS2017_COVERAGE_R1,0.2,Oort-Style-Adapted,validation_PR_AUC,10,0.0361505820147779,0.00653588798837458,0.0407221526753829
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,validation_F1,10,0.020169801142603295,0.02844401660432951,0.012445829391545118
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,validation_FPR,10,0.030508877420991842,0.02464359912475715,0.03580020114210748
CICIDS2017_COVERAGE_R1,0.2,Oracle-Score-Exact,validation_PR_AUC,10,0.035389070835759456,0.007608040772903442,0.03625399344471255
CICIDS2017_COVERAGE_R1,0.2,Random-Budget,validation_F1,10,0.0082265419819131,0.008928193982599952,0.018044412505119133
CICIDS2017_COVERAGE_R1,0.2,Random-Budget,validation_FPR,10,0.057849994539477874,0.056655530886495595,0.07586389633519647
CICIDS2017_COVERAGE_R1,0.2,Random-Budget,validation_PR_AUC,10,0.03616508433971545,0.006945375527098139,0.04431780280184197
CICIDS2017_COVERAGE_R1,0.2,Utility-Cost-Ratio,validation_F1,10,0.026444792227375103,0.01804099760951341,0.04300067682081419
CICIDS2017_COVERAGE_R1,0.2,Utility-Cost-Ratio,validation_FPR,10,0.040521238576119355,0.026446575406986056,0.055914498234916045
CICIDS2017_COVERAGE_R1,0.2,Utility-Cost-Ratio,validation_PR_AUC,10,0.03937568260282694,0.009499921163547184,0.04754057541290019
CICIDS2017_COVERAGE_R1,0.2,Utility-Only,validation_F1,10,0.031128398543128575,0.015821833543704984,0.04370765956058212
CICIDS2017_COVERAGE_R1,0.2,Utility-Only,validation_FPR,10,0.04312278545029782,0.025584688247323812,0.05668809569505851
CICIDS2017_COVERAGE_R1,0.2,Utility-Only,validation_PR_AUC,10,0.04076874036083824,0.008422916744917422,0.04719275503797509
CICIDS2017_COVERAGE_R1,0.4,CB-Score,validation_F1,10,0.010775635615645832,0.01774557231985371,0.02124302529688493
CICIDS2017_COVERAGE_R1,0.4,CB-Score,validation_FPR,10,0.024089693456662377,0.0149364018837949,0.015584846241660778
CICIDS2017_COVERAGE_R1,0.4,CB-Score,validation_PR_AUC,10,0.03254399649984971,0.007374480807072942,0.03661229919004075
CICIDS2017_COVERAGE_R1,0.4,Cost-Only,validation_F1,10,0.0012022825810076286,0.0030300883302014398,0.00021634943042361514
