phase,dataset_protocol,method,beta,alpha_dir,n_seeds,metric_f1_mean,metric_f1_sd,metric_pr_auc_mean,metric_pr_auc_sd,metric_fpr_mean,metric_fpr_sd,metric_roc_auc_mean,metric_roc_auc_sd,metric_false_positives_per_10000_benign_mean,metric_false_positives_per_10000_benign_sd,comm_selected_uplink_mean,comm_selected_uplink_sd,comm_E2E_broadcast_mean,comm_E2E_broadcast_sd,comm_wall_clock_seconds_mean,comm_wall_clock_seconds_sd
heterogeneity,CICIDS2017_COVERAGE_R1,CB-Score,0.4,0.1,10,0.04915168961689686,0.07240453713979052,0.2293343916816507,0.05836153422093057,0.059484753502712276,0.07297082016306039,0.4713760560024332,0.15060623802352055,594.8475350271227,729.708201630604,2712883.6,2044792.354594862,4783286.6,2048292.697007719,51.86406098999869,4.654386078047489
heterogeneity,CICIDS2017_COVERAGE_R1,CB-Score,0.4,1.0,10,0.008746286323112154,0.009335104927488957,0.1917704676898238,0.02895930361345941,0.0033743620944835058,0.0038955702859165566,0.40406263443061446,0.08404809824655471,33.74362094483506,38.95570285916557,6891981.4,542710.908500035,8965919.3,542855.6003913318,57.82173295000102,1.8873937937524312
heterogeneity,CICIDS2017_COVERAGE_R1,Full-Contextual,Full,0.1,10,0.0017714699982086866,0.0015383254397307996,0.19825983265977687,0.03006051465805446,0.006430839591330295,0.013407668466474081,0.33938969712081607,0.04561227384453369,64.30839591330296,134.0766846647408,18146477.3,281516.1612558564,20192147.8,282693.4863541547,53.36804319000221,4.29249188690209
heterogeneity,CICIDS2017_COVERAGE_R1,Full-Contextual,Full,1.0,10,0.004459980187758182,0.0023872997264123208,0.18880506449782578,0.00787838479823095,0.0012606004258969986,0.0014815541014916221,0.4160437288475148,0.03230253769409694,12.606004258969985,14.815541014916223,18542032.7,86347.08443646361,20591232.9,86476.49855879278,57.06376280000404,1.9229447406527163
heterogeneity,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,0.1,10,0.017512247997608924,0.030500400573230224,0.18574620715771906,0.01886905866302212,0.04463578286772924,0.08964154156180078,0.39780567145982526,0.07104560887565076,446.35782867729245,896.4154156180078,2342317.4,2012224.4579690187,4412044.6,2016181.7764884857,51.14414247000677,4.3227482093601655
heterogeneity,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,10,0.007119502123829723,0.009022346474815821,0.18198228423120016,0.013649910322139623,0.006041858223469454,0.012758888617075196,0.38235914793724457,0.05100334621499129,60.41858223469454,127.58888617075196,6331396.8,416044.43891242624,8405384.7,416096.6904456089,57.65002291999699,2.0432588645937773
heterogeneity,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,0.1,10,0.04915168961689686,0.07240453713979052,0.2293343916816507,0.05836153422093057,0.059484753502712276,0.07297082016306039,0.4713760560024332,0.15060623802352055,594.8475350271227,729.708201630604,2712883.6,2044792.354594862,4783286.6,2048292.697007719,51.751314220007046,4.996335205533856
heterogeneity,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,10,0.004056352973276623,0.0022328078579264346,0.18274413710958343,0.009619505965508951,0.0019086748314015294,0.002324735331724672,0.37531722140202656,0.05220726026417534,19.086748314015292,23.24735331724672,7163893.4,357352.61176826456,9237900.2,357500.06393217767,57.7524990999882,1.722830934480399
heterogeneity,CICIDS2017_COVERAGE_R1,Random-Budget,0.4,0.1,10,0.07493098674167692,0.15142896504854078,0.21734035245350747,0.0539235821359622,0.06127823789389491,0.10029992179743033,0.45479450541863764,0.13204654390560264,612.782378938949,1002.9992179743033,4775319.9,1006629.7762260904,6847275.1,1006958.3177556115,52.213907300011485,2.74254609655238
heterogeneity,CICIDS2017_COVERAGE_R1,Random-Budget,0.4,1.0,10,0.009726882943231372,0.009118566865114853,0.196073454492341,0.019497729624270474,0.0025871704510884983,0.0029163781673867384,0.4286869641227993,0.060135612217970896,25.871704510884985,29.163781673867383,7091375.1,115898.71293355917,9163498.7,116042.46252610387,56.79510697000224,2.28620861887727
heterogeneity,CICIDS2017_COVERAGE_R1,Utility-Only,0.4,0.1,10,0.061125353355546315,0.14373596429923438,0.2120363115841876,0.07959214618720245,0.04679534726328707,0.0889415090492901,0.4195073553120697,0.09873129644697572,467.95347263287067,889.415090492901,2322785.0,1982810.8020932754,4392595.6,1986914.4473582483,51.172676669998324,4.160914059506559
heterogeneity,CICIDS2017_COVERAGE_R1,Utility-Only,0.4,1.0,10,0.009178421248139333,0.009936916373739058,0.1849257665226634,0.014388933647039527,0.0058747124511636965,0.009898198080570936,0.39547478463272623,0.060251697759675406,58.74712451163697,98.98198080570937,6173258.5,653114.97031963,8247278.6,652754.4896961559,60.78420930000866,4.579910362533264
heterogeneity,CICIoT2023_R1,CB-Score,0.4,0.1,10,0.826737196757457,0.1682787904259122,0.9658254744074402,0.04657785965002653,0.03356811697574893,0.023061420662026762,0.9092305999860815,0.09011447201265166,335.68116975748933,230.61420662026765,1318224.3,1505832.135252211,2835883.6,1509396.5521779594,39.27992263000924,1.599652418521069
heterogeneity,CICIoT2023_R1,CB-Score,0.4,1.0,10,0.9214470477820536,0.005107088970260143,0.9874878373599167,0.0010199954305401412,0.0488543152639087,0.004316766505566498,0.9588097732544516,0.0033604571095129953,488.543152639087,43.16766505566496,5204843.4,238127.46984205281,6727326.8,238146.08062503708,40.06231583998306,1.9422438378786224
heterogeneity,CICIoT2023_R1,Full-Contextual,Full,0.1,10,0.8932683040405727,0.03195754735323254,0.8818598261736236,0.13039031809440157,0.47150945078459344,0.46080193386010215,0.747004413688258,0.25566184193250496,4715.0945078459345,4608.019338601021,13043850.1,543480.5995113451,14537778.3,544000.9647156581,37.70592737002589,0.7799336227953879
heterogeneity,CICIoT2023_R1,Full-Contextual,Full,1.0,10,0.9227355541938507,0.003474672311563297,0.9878022322846287,0.0006149629239900739,0.04643812410841655,0.0029164494407219106,0.9598461289169046,0.0020556614196041664,464.3812410841655,29.164494407219106,13483698.8,183123.4144903983,14980521.1,183209.69461760964,46.95920231998898,1.1543790204003075
heterogeneity,CICIoT2023_R1,Oort-Style-Adapted,0.4,0.1,10,0.8520697365218306,0.1724736482426344,0.953394730821772,0.06648660867798112,0.1348386233951498,0.30454995731969753,0.8904971464930815,0.12677651138527443,1348.3862339514978,3045.4995731969752,2051828.4,1532912.216057484,3571384.3,1536047.8543351332,39.79078683000553,3.4224210385316747
heterogeneity,CICIoT2023_R1,Oort-Style-Adapted,0.4,1.0,10,0.9200496564021337,0.0043962212188616385,0.9874679402709422,0.0008721087191706778,0.04874732524964337,0.004100705063837047,0.9589924244390233,0.0028100004332018125,487.47325249643364,41.00705063837048,4444405.7,567969.3744239795,5966763.1,568144.9484253214,38.989821010000014,0.6584685241844863
heterogeneity,CICIoT2023_R1,Oracle-Score-Exact,0.4,0.1,10,0.826737196757457,0.1682787904259122,0.9658254744074402,0.04657785965002653,0.03356811697574893,0.023061420662026762,0.9092305999860815,0.09011447201265166,335.68116975748933,230.61420662026765,1318224.3,1505832.135252211,2835883.6,1509396.5521779594,48.00306644999655,2.1896926824093668
heterogeneity,CICIoT2023_R1,Oracle-Score-Exact,0.4,1.0,10,0.9215421825075895,0.004380596634885241,0.9876905777618071,0.0009394302390260365,0.04735199714693295,0.0018143230355686488,0.959369917359034,0.0031711196892986013,473.5199714693295,18.1432303556865,5353583.2,108227.6079471202,6876081.8,108264.39605459713,39.3364034100101,0.5227282479005875
heterogeneity,CICIoT2023_R1,Random-Budget,0.4,0.1,10,0.9072833968907664,0.01774278531133869,0.9810736670875146,0.006566631041537041,0.09704885877318117,0.1110188800960638,0.9397003575208314,0.020369781454607102,970.4885877318117,1110.188800960638,3045975.8,1143157.140035515,4565135.6,1143404.1126781807,38.58741155000898,0.612673015154765
heterogeneity,CICIoT2023_R1,Random-Budget,0.4,1.0,10,0.9224147157803342,0.0024338008921708735,0.987547501639556,0.00034074554962565683,0.04658077746077033,0.002614927273958342,0.9591224537146845,0.0012540566614394639,465.80777460770327,26.149272739583417,5105870.9,86398.7318997089,6625842.7,86634.75698849485,53.117312529981426,7.910317123597377
heterogeneity,CICIoT2023_R1,Utility-Only,0.4,0.1,10,0.8541393163303003,0.173218781955901,0.9532180603926779,0.06638791410018047,0.1391093081312411,0.30288350701934363,0.8898478281627242,0.12639604515511563,1391.093081312411,3028.8350701934364,2026502.8,1500476.6026130794,3546037.2,1503596.7752520621,38.58567720999709,1.5245419100747295
